id,identifier,category_id,cost,fling_power,fling_effect_id
1,master-ball,34,0,,
2,ultra-ball,34,800,,
3,great-ball,34,600,,
4,poke-ball,34,200,,
5,safari-ball,34,0,,
6,net-ball,33,1000,,
7,dive-ball,33,1000,,
8,nest-ball,33,1000,,
9,repeat-ball,33,1000,,
10,timer-ball,33,1000,,
11,luxury-ball,33,3000,,
12,premier-ball,33,20,,
13,dusk-ball,33,1000,,
14,heal-ball,33,300,,
15,quick-ball,33,1000,,
16,cherish-ball,33,0,,
17,potion,27,200,30,
18,antidote,30,200,30,
19,burn-heal,30,200,30,
20,ice-heal,30,200,30,
21,awakening,30,200,30,
22,paralyze-heal,30,200,30,
23,full-restore,27,3000,30,
24,max-potion,27,2500,30,
25,hyper-potion,27,1500,30,
26,super-potion,27,700,30,
27,full-heal,30,400,30,
28,revive,29,2000,30,
29,max-revive,29,4000,30,
30,fresh-water,27,200,30,
31,soda-pop,27,300,30,
32,lemonade,27,400,30,
33,moomoo-milk,27,600,30,
34,energy-powder,27,500,30,
35,energy-root,27,1200,30,
36,heal-powder,30,300,30,
37,revival-herb,29,2800,30,
38,ether,28,1200,30,
39,max-ether,28,2000,30,
40,elixir,28,3000,30,
41,max-elixir,28,4500,30,
42,lava-cookie,30,350,30,
43,berry-juice,27,200,30,
44,sacred-ash,29,50000,30,
45,hp-up,26,10000,30,
46,protein,26,10000,30,
47,iron,26,10000,30,
48,carbos,26,10000,30,
49,calcium,26,10000,30,
50,rare-candy,26,10000,30,
51,pp-up,26,10000,30,
52,zinc,26,10000,30,
53,pp-max,26,10000,30,
54,old-gateau,30,350,30,
55,guard-spec,1,1500,30,
56,dire-hit,1,1000,30,
57,x-attack,1,1000,30,
58,x-defense,1,2000,30,
59,x-speed,1,1000,30,
60,x-accuracy,1,1000,30,
61,x-sp-atk,1,1000,30,
62,x-sp-def,1,2000,30,
63,poke-doll,11,300,30,
64,fluffy-tail,11,100,30,
65,blue-flute,38,20,30,
66,yellow-flute,38,20,30,
67,red-flute,38,20,30,
68,black-flute,11,20,30,
69,white-flute,11,20,30,
70,shoal-salt,9,20,30,
71,shoal-shell,9,20,30,
72,red-shard,9,1000,30,
73,blue-shard,9,1000,30,
74,yellow-shard,9,1000,30,
75,green-shard,9,1000,30,
76,super-repel,11,700,30,
77,max-repel,11,900,30,
78,escape-rope,11,300,30,
79,repel,11,400,30,
80,sun-stone,10,3000,30,
81,moon-stone,10,3000,30,
82,fire-stone,10,3000,30,
83,thunder-stone,10,3000,30,
84,water-stone,10,3000,30,
85,leaf-stone,10,3000,30,
86,tiny-mushroom,24,500,30,
87,big-mushroom,24,5000,30,
88,pearl,24,2000,30,
89,big-pearl,24,8000,30,
90,stardust,24,3000,30,
91,star-piece,24,12000,30,
92,nugget,24,10000,30,
93,heart-scale,9,100,30,
94,honey,35,900,30,
95,growth-mulch,32,200,30,
96,damp-mulch,32,200,30,
97,stable-mulch,32,200,30,
98,gooey-mulch,32,200,30,
99,root-fossil,35,7000,100,
100,claw-fossil,35,7000,100,
101,helix-fossil,35,7000,100,
102,dome-fossil,35,7000,100,
103,old-amber,35,10000,100,
104,armor-fossil,35,7000,100,
105,skull-fossil,35,7000,100,
106,rare-bone,24,5000,100,
107,shiny-stone,10,3000,80,
108,dusk-stone,10,3000,80,
109,dawn-stone,10,3000,80,
110,oval-stone,10,2000,80,
111,odd-keystone,35,2100,80,
112,adamant-orb,18,0,60,
113,lustrous-orb,18,0,60,
114,grass-mail,25,50,,
115,flame-mail,25,50,,
116,bubble-mail,25,50,,
117,bloom-mail,25,50,,
118,tunnel-mail,25,50,,
119,steel-mail,25,50,,
120,heart-mail,25,50,,
121,snow-mail,25,50,,
122,space-mail,25,50,,
123,air-mail,25,50,,
124,mosaic-mail,25,50,,
125,brick-mail,25,50,,
126,cheri-berry,3,80,10,3
127,chesto-berry,3,80,10,3
128,pecha-berry,3,80,10,3
129,rawst-berry,3,80,10,3
130,aspear-berry,3,80,10,3
131,leppa-berry,3,80,10,3
132,oran-berry,3,80,10,3
133,persim-berry,3,80,10,3
134,lum-berry,3,80,10,3
135,sitrus-berry,3,80,10,3
136,figy-berry,6,80,10,3
137,wiki-berry,6,80,10,3
138,mago-berry,6,80,10,3
139,aguav-berry,6,80,10,3
140,iapapa-berry,6,80,10,3
141,razz-berry,8,200,10,
142,bluk-berry,8,20,10,
143,nanab-berry,8,200,10,
144,wepear-berry,8,20,10,
145,pinap-berry,8,200,10,
146,pomeg-berry,2,80,10,
147,kelpsy-berry,2,80,10,
148,qualot-berry,2,80,10,
149,hondew-berry,2,80,10,
150,grepa-berry,2,80,10,
151,tamato-berry,2,80,10,
152,cornn-berry,8,20,10,
153,magost-berry,8,20,10,
154,rabuta-berry,8,20,10,
155,nomel-berry,8,20,10,
156,spelon-berry,8,20,10,
157,pamtre-berry,8,20,10,
158,watmel-berry,8,20,10,
159,durin-berry,8,20,10,
160,belue-berry,8,20,10,
161,occa-berry,7,80,10,
162,passho-berry,7,80,10,
163,wacan-berry,7,80,10,
164,rindo-berry,7,80,10,
165,yache-berry,7,80,10,
166,chople-berry,7,80,10,
167,kebia-berry,7,80,10,
168,shuca-berry,7,80,10,
169,coba-berry,7,80,10,
170,payapa-berry,7,80,10,
171,tanga-berry,7,80,10,
172,charti-berry,7,80,10,
173,kasib-berry,7,80,10,
174,haban-berry,7,80,10,
175,colbur-berry,7,80,10,
176,babiri-berry,7,80,10,
177,chilan-berry,7,80,10,
178,liechi-berry,5,80,10,3
179,ganlon-berry,5,80,10,3
180,salac-berry,5,80,10,3
181,petaya-berry,5,80,10,3
182,apicot-berry,5,80,10,3
183,lansat-berry,5,80,10,3
184,starf-berry,5,80,10,3
185,enigma-berry,4,80,10,
186,micle-berry,5,80,10,3
187,custap-berry,5,80,10,
188,jaboca-berry,4,80,10,
189,rowap-berry,4,80,10,
190,bright-powder,12,4000,10,
191,white-herb,12,4000,10,4
192,macho-brace,14,3000,60,
193,exp-share,16,0,,
194,quick-claw,12,4000,80,
195,soothe-bell,16,4000,10,
196,mental-herb,12,4000,10,4
197,choice-band,13,4000,10,
198,kings-rock,12,5000,30,7
199,silver-powder,19,1000,10,
200,amulet-coin,16,10000,30,
201,cleanse-tag,16,5000,30,
202,soul-dew,18,0,30,
203,deep-sea-tooth,18,2000,90,
204,deep-sea-scale,18,2000,30,
205,smoke-ball,12,4000,30,
206,everstone,16,3000,30,
207,focus-band,12,4000,10,
208,lucky-egg,16,10000,30,
209,scope-lens,12,4000,30,
210,metal-coat,19,2000,30,
211,leftovers,12,4000,10,
212,dragon-scale,10,2000,30,
213,light-ball,18,1000,30,5
214,soft-sand,19,1000,10,
215,hard-stone,19,1000,100,
216,miracle-seed,19,1000,30,
217,black-glasses,19,1000,30,
218,black-belt,19,1000,30,
219,magnet,19,1000,30,
220,mystic-water,19,1000,30,
221,sharp-beak,19,1000,50,
222,poison-barb,19,1000,70,6
223,never-melt-ice,19,1000,30,
224,spell-tag,19,1000,30,
225,twisted-spoon,19,1000,30,
226,charcoal,19,1000,30,
227,dragon-fang,19,1000,70,
228,silk-scarf,19,1000,10,
229,upgrade,10,2000,30,
230,shell-bell,12,4000,30,
231,sea-incense,19,2000,10,
232,lax-incense,12,5000,10,
233,lucky-punch,18,1000,40,
234,metal-powder,18,1000,10,
235,thick-club,18,1000,90,
236,leek,18,1000,60,
237,red-scarf,36,100,10,
238,blue-scarf,36,100,10,
239,pink-scarf,36,100,10,
240,green-scarf,36,100,10,
241,yellow-scarf,36,100,10,
242,wide-lens,12,4000,10,
243,muscle-band,12,4000,10,
244,wise-glasses,12,4000,10,
245,expert-belt,12,4000,10,
246,light-clay,12,4000,30,
247,life-orb,12,4000,30,
248,power-herb,12,4000,10,
249,toxic-orb,15,4000,30,1
250,flame-orb,15,4000,30,2
251,quick-powder,18,1000,10,
252,focus-sash,12,4000,10,
253,zoom-lens,12,4000,10,
254,metronome,12,4000,30,
255,iron-ball,15,4000,130,
256,lagging-tail,15,4000,10,
257,destiny-knot,12,4000,10,
258,black-sludge,12,4000,30,
259,icy-rock,12,4000,40,
260,smooth-rock,12,4000,10,
261,heat-rock,12,4000,60,
262,damp-rock,12,4000,60,
263,grip-claw,12,4000,90,
264,choice-scarf,13,4000,10,
265,sticky-barb,15,4000,80,
266,power-bracer,14,3000,70,
267,power-belt,14,3000,70,
268,power-lens,14,3000,70,
269,power-band,14,3000,70,
270,power-anklet,14,3000,70,
271,power-weight,14,3000,70,
272,shed-shell,12,4000,10,
273,big-root,12,4000,10,
274,choice-specs,13,4000,10,
275,flame-plate,17,1000,90,
276,splash-plate,17,1000,90,
277,zap-plate,17,1000,90,
278,meadow-plate,17,1000,90,
279,icicle-plate,17,1000,90,
280,fist-plate,17,1000,90,
281,toxic-plate,17,1000,90,
282,earth-plate,17,1000,90,
283,sky-plate,17,1000,90,
284,mind-plate,17,1000,90,
285,insect-plate,17,1000,90,
286,stone-plate,17,1000,90,
287,spooky-plate,17,1000,90,
288,draco-plate,17,1000,90,
289,dread-plate,17,1000,90,
290,iron-plate,17,1000,90,
291,odd-incense,19,2000,10,
292,rock-incense,19,2000,10,
293,full-incense,15,5000,10,
294,wave-incense,19,2000,10,
295,rose-incense,19,2000,10,
296,luck-incense,16,11000,10,
297,pure-incense,16,6000,10,
298,protector,10,2000,80,
299,electirizer,10,2000,80,
300,magmarizer,10,2000,80,
301,dubious-disc,10,2000,50,
302,reaper-cloth,10,2000,10,
303,razor-claw,12,5000,80,
304,razor-fang,12,5000,30,7
305,tm01,37,40000,,
306,tm02,37,1000,,
307,tm03,37,50000,,
308,tm04,37,50000,,
309,tm05,37,50000,,
310,tm06,37,1000,,
311,tm07,37,1000,,
312,tm08,37,50000,,
313,tm09,37,50000,,
314,tm10,37,1000,,
315,tm11,37,1000,,
316,tm12,37,50000,,
317,tm13,37,10000,,
318,tm14,37,1000,,
319,tm15,37,1000,,
320,tm16,37,1000,,
321,tm17,37,10000,,
322,tm18,37,10000,,
323,tm19,37,10000,,
324,tm20,37,34464,,
325,tm21,37,1000,,
326,tm22,37,1000,,
327,tm23,37,10000,,
328,tm24,37,1000,,
329,tm25,37,10000,,
330,tm26,37,1000,,
331,tm27,37,1000,,
332,tm28,37,34464,,
333,tm29,37,1000,,
334,tm30,37,1000,,
335,tm31,37,1000,,
336,tm32,37,10000,,
337,tm33,37,10000,,
338,tm34,37,10000,,
339,tm35,37,10000,,
340,tm36,37,1000,,
341,tm37,37,1000,,
342,tm38,37,1000,,
343,tm39,37,1000,,
344,tm40,37,1000,,
345,tm41,37,10000,,
346,tm42,37,1000,,
347,tm43,37,1000,,
348,tm44,37,34464,,
349,tm45,37,1000,,
350,tm46,37,30000,,
351,tm47,37,1000,,
352,tm48,37,1000,,
353,tm49,37,1000,,
354,tm50,37,10000,,
355,tm51,37,1000,,
356,tm52,37,34464,,
357,tm53,37,1000,,
358,tm54,37,1000,,
359,tm55,37,10000,,
360,tm56,37,1000,,
361,tm57,37,1000,,
362,tm58,37,1000,,
363,tm59,37,34464,,
364,tm60,37,30000,,
365,tm61,37,30000,,
366,tm62,37,30000,,
367,tm63,37,50000,,
368,tm64,37,1000,,
369,tm65,37,1000,,
370,tm66,37,30000,,
371,tm67,37,30000,,
372,tm68,37,30000,,
373,tm69,37,1000,,
374,tm70,37,50000,,
375,tm71,37,50000,,
376,tm72,37,50000,,
377,tm73,37,1000,,
378,tm74,37,1000,,
379,tm75,37,1000,,
380,tm76,37,10000,,
381,tm77,37,1000,,
382,tm78,37,1000,,
383,tm79,37,1000,,
384,tm80,37,1000,,
385,tm81,37,1000,,
386,tm82,37,1000,,
387,tm83,37,34464,,
388,tm84,37,1000,,
389,tm85,37,1000,,
390,tm86,37,1000,,
391,tm87,37,1000,,
392,tm88,37,20000,,
393,tm89,37,20000,,
394,tm90,37,20000,,
395,tm91,37,20000,,
396,tm92,37,34464,,
397,hm01,37,0,,
398,hm02,37,0,,
399,hm03,37,0,,
400,hm04,37,0,,
401,hm05,37,0,,
402,hm06,37,0,,
403,hm07,37,0,,
404,hm08,37,0,,
405,explorer-kit,21,0,,
406,loot-sack,23,0,,
407,rule-book,23,0,,
408,poke-radar,21,0,,
409,point-card,21,0,,
410,journal,21,0,,
411,seal-case,21,0,,
412,fashion-case,21,0,,
413,seal-bag,23,0,,
414,pal-pad,21,0,,
415,works-key,22,0,,
416,old-charm,22,0,,
417,galactic-key,22,0,,
418,red-chain,23,0,,
419,town-map,21,0,,
420,vs-seeker,21,0,,
421,coin-case,21,0,,
422,old-rod,21,0,,
423,good-rod,21,0,,
424,super-rod,21,0,,
425,sprayduck,21,0,,
426,poffin-case,21,0,,
427,bicycle,21,0,,
428,suite-key,20,0,,
429,oaks-letter,20,0,,
430,lunar-wing,20,0,,
431,member-card,20,0,,
432,azure-flute,20,0,,
433,ss-ticket,22,0,,
434,contest-pass,21,0,,
435,magma-stone,22,0,,
436,parcel,22,0,,
437,coupon-1,22,0,,
438,coupon-2,22,0,,
439,coupon-3,22,0,,
440,storage-key,22,0,,
441,secret-potion,22,0,,
442,griseous-orb,18,0,60,
443,vs-recorder,21,0,,
444,gracidea,20,0,,
445,secret-key,20,0,,
446,apricorn-box,21,0,,
447,berry-pots,21,0,,
448,squirt-bottle,22,0,,
449,lure-ball,39,0,,
450,level-ball,39,0,,
451,moon-ball,39,0,,
452,heavy-ball,39,0,,
453,fast-ball,39,0,,
454,friend-ball,39,0,,
455,love-ball,39,0,,
456,park-ball,34,0,,
457,sport-ball,34,300,,
458,red-apricorn,40,200,10,
459,blue-apricorn,40,200,10,
460,yellow-apricorn,40,200,10,
461,green-apricorn,40,200,10,
462,pink-apricorn,40,200,10,
463,white-apricorn,40,200,10,
464,black-apricorn,40,200,10,
465,dowsing-machine,21,0,,
466,rage-candy-bar,21,350,30,
467,red-orb,22,0,,
468,blue-orb,22,0,,
469,jade-orb,22,0,,
470,enigma-stone,20,0,,
471,unown-report,21,0,,
472,blue-card,21,0,,
473,slowpoke-tail,23,0,,
474,clear-bell,22,0,,
475,card-key,22,0,,
476,basement-key,22,0,,
477,red-scale,22,0,,
478,lost-item,22,0,,
479,pass,22,0,,
480,machine-part,22,0,,
481,silver-wing,22,0,,
482,rainbow-wing,22,0,,
483,mystery-egg,22,0,,
484,gb-sounds,21,0,,
485,tidal-bell,22,0,,
486,data-card-01,41,0,,
487,data-card-02,41,0,,
488,data-card-03,41,0,,
489,data-card-04,41,0,,
490,data-card-05,41,0,,
491,data-card-06,41,0,,
492,data-card-07,41,0,,
493,data-card-08,41,0,,
494,data-card-09,41,0,,
495,data-card-10,41,0,,
496,data-card-11,41,0,,
497,data-card-12,41,0,,
498,data-card-13,41,0,,
499,data-card-14,41,0,,
500,data-card-15,41,0,,
501,data-card-16,41,0,,
502,data-card-17,41,0,,
503,data-card-18,41,0,,
504,data-card-19,41,0,,
505,data-card-20,41,0,,
506,data-card-21,41,0,,
507,data-card-22,41,0,,
508,data-card-23,41,0,,
509,data-card-24,41,0,,
510,data-card-25,41,0,,
511,data-card-26,41,0,,
512,data-card-27,41,0,,
513,lock-capsule,23,0,,
514,photo-album,23,0,,
515,orange-mail,25,50,,
516,harbor-mail,25,50,,
517,glitter-mail,25,50,,
518,mech-mail,25,50,,
519,wood-mail,25,50,,
520,wave-mail,25,50,,
521,bead-mail,25,50,,
522,shadow-mail,25,50,,
523,tropic-mail,25,50,,
524,dream-mail,25,50,,
525,fab-mail,25,50,,
526,retro-mail,25,0,,
527,mach-bike,21,0,,
528,acro-bike,21,0,,
