item_identifier,language,game_group_from,game_revision_from,game_group_to,game_revision_to,name
ability-capsule,de,xy,,la,,Fähigk.-Kapsel
ability-capsule,es,xy,,la,,Cáps. Habilidad
ability-patch,de,ss,,la,,Fähigk.-Pflaster
ability-urge,fr,bw,,b2w2,,Appel CapSpé
ability-urge,de,bw,,oras,,Fäh.-Appell
ability-urge,de,sm,,la,,Fähigk.-Appell
acro-bike,en,rs,,e,,ACRO BIKE
acro-bike,fr,rs,,e,,VELO CROSS
acro-bike,it,rs,,e,,BICI CROSS
acro-bike,de,rs,,e,,KUNSTRAD
acro-bike,es,rs,,e,,BICI ACROB.
adrenaline-orb,de,sm,,la,,Zitterorb
adventure-guide,en,xy,,lgpe,,Adventure Rules
adventure-guide,it,xy,,la,,Guida Avventura
adventure-guide,es,xy,,lgpe,,Guía de Máximas
aguav-berry,en,rs,,e,,AGUAV BERRY
aguav-berry,fr,rs,,e,,BAIE GOWAV
aguav-berry,it,rs,,e,,BACCAGUAVA
aguav-berry,de,rs,,e,,GAUVEBEERE
aguav-berry,es,rs,,e,,BAYA GUAYA
amulet-coin,en,gs,,e,,AMULET COIN
amulet-coin,fr,gs,,e,,PIECE RUNE
amulet-coin,it,gs,,e,,MONETAMULETO
amulet-coin,de,gs,,e,,MÜNZAMULETT
amulet-coin,es,gs,,e,,MON. AMULETO
amulet-coin,es,dp,,b2w2,,Mon. Amuleto
amulet-coin,ko,gs,,gs,,부적 금화
antidote,en,rb,,e,,ANTIDOTE
antidote,fr,rb,,e,,ANTIDOTE
antidote,it,rb,,e,,ANTIDOTO
antidote,de,rb,,e,,GEGENGIFT
antidote,es,rb,,e,,ANTÍDOTO
apicot-berry,en,rs,,e,,APICOT BERRY
apicot-berry,fr,rs,,e,,BAIE ABRIKO
apicot-berry,it,rs,,e,,BACCACOCCA
apicot-berry,de,rs,,e,,APIKOBEERE
apicot-berry,es,rs,,e,,BAYA ARICOC
apricorn-box,fr,hgss,,b2w2,,Bte Noigrume
armor-fossil,fr,dp,,b2w2,,Foss. Armure
aspear-berry,en,rs,,e,,ASPEAR BERRY
aspear-berry,fr,rs,,e,,BAIE WILLIA
aspear-berry,it,rs,,e,,BACCAPERINA
aspear-berry,de,rs,,e,,WILBIRBEERE
aspear-berry,es,rs,,e,,BAYA PERASI
awakening,en,rb,,e,,AWAKENING
awakening,fr,rb,,e,,REVEIL
awakening,it,rb,,e,,SVEGLIA
awakening,de,rb,,e,,AUFWECKER
awakening,es,rb,,e,,DESPERTAR
awakening,ko,gs,,gs,,잠깨는 약
azure-flute,it,dp,,ss,,Flauto Cielo
balm-mushroom,en,bw,,b2w2,,BalmMushroom
basement-key--goldenrod-tunnel,jp-kana,gs,,c,,ちかのカギ
basement-key--goldenrod-tunnel,en,gs,,c,,BASEMENT KEY
basement-key--goldenrod-tunnel,fr,gs,,c,,CLE SOUS-SOL
basement-key--goldenrod-tunnel,it,gs,,c,,CHIAVE SOTT.
basement-key--goldenrod-tunnel,it,hgss,,b2w2,,Chiave Sott.
basement-key--goldenrod-tunnel,it,xy,,xy,,Chiave Sotterr.
basement-key--goldenrod-tunnel,de,gs,,c,,KELLERÖFFNER
basement-key--goldenrod-tunnel,es,gs,,c,,LL. SÓTANO
basement-key--goldenrod-tunnel,es,hgss,,b2w2,,Ll. Sótano
basement-key--goldenrod-tunnel,es,xy,,la,,Llave Sótano
basement-key--goldenrod-tunnel,ko,gs,,gs,,지하의 열쇠
basement-key--new-mauville,en,rs,,e,,BASEMENT KEY
basement-key--new-mauville,fr,rs,,e,,CLE SOUS-SOL
basement-key--new-mauville,it,rs,,e,,CHIAVE SOTT.
basement-key--new-mauville,de,rs,,e,,KELLERÖFFNER
basement-key--new-mauville,es,rs,,e,,LL. SÓTANO
belue-berry,en,rs,,e,,BELUE BERRY
belue-berry,fr,rs,,e,,BAIE MYRTE
belue-berry,it,rs,,e,,BACCARTILLO
belue-berry,de,rs,,e,,MYRTILBEERE
belue-berry,es,rs,,e,,BAYA ANDANO
berry-juice,en,gs,,e,,BERRY JUICE
berry-juice,fr,gs,,e,,JUS DE BAIE
berry-juice,it,gs,,e,,SUCCODIBACCA
berry-juice,it,dp,,la,,Succodibacca
berry-juice,de,gs,,e,,BEERENSAFT
berry-juice,es,gs,,e,,ZUMO DE BAYA
big-mushroom,en,gs,,e,,BIG MUSHROOM
big-mushroom,fr,gs,,e,,GROS CHAMPI
big-mushroom,it,gs,,e,,GRANDE FUNGO
big-mushroom,it,dp,,la,,Grande Fungo
big-mushroom,de,gs,,e,,RIESENPILZ
big-mushroom,es,gs,,e,,SETA GRANDE
big-mushroom,ko,gs,,gs,,큰 버섯
big-pearl,en,gs,,e,,BIG PEARL
big-pearl,fr,gs,,e,,GRANDE PERLE
big-pearl,it,gs,,e,,GRANDE PERLA
big-pearl,it,dp,,la,,Grande Perla
big-pearl,de,gs,,e,,RIESENPERLE
big-pearl,es,gs,,e,,PERLA GRANDE
big-pearl,ko,gs,,gs,,큰 진주
big-root,fr,dp,,b2w2,,Grosseracine
bike,en,rb,,e,,BICYCLE
