game_group_identifier,move_identifier,language_identifier,name
rb,absorb,jp-kana,すいとる
rb,absorb,en,ABSORB
rb,absorb,fr,VOL-VIE
rb,absorb,it,ASSORBIMENTO
rb,absorb,de,ABSORBER
rb,absorb,es,ABSORBER
rb,acid,jp-kana,ようかいえき
rb,acid,en,ACID
rb,acid,fr,ACIDE
rb,acid,it,ACIDO
rb,acid,de,SÄURE
rb,acid,es,ÁCIDO
rb,acid-armor,jp-kana,とける
rb,acid-armor,en,ACID ARMOR
rb,acid-armor,fr,ACIDARMURE
rb,acid-armor,it,SCUDO ACIDO
rb,acid-armor,de,SÄUREPANZER
rb,acid-armor,es,ARMAD. ÁCIDA
rb,agility,jp-kana,こうそくいどう
rb,agility,en,AGILITY
rb,agility,fr,HATE
rb,agility,it,AGILITÀ
rb,agility,de,AGILITÄT
rb,agility,es,AGILIDAD
rb,amnesia,jp-kana,ドわすれ
rb,amnesia,en,AMNESIA
rb,amnesia,fr,AMNESIE
rb,amnesia,it,AMNESIA
rb,amnesia,de,AMNESIE
rb,amnesia,es,AMNESIA
rb,aurora-beam,jp-kana,オーロラビーム
rb,aurora-beam,en,AURORA BEAM
rb,aurora-beam,fr,ONDE BOREALE
rb,aurora-beam,it,RAGGIAURORA
rb,aurora-beam,de,AURORASTRAHL
rb,aurora-beam,es,RAYO AURORA
rb,barrage,jp-kana,たまなげ
rb,barrage,en,BARRAGE
rb,barrage,fr,PILONNAGE
rb,barrage,it,ATT. PIOGGIA
rb,barrage,de,STAKKATO
rb,barrage,es,PRESA
rb,barrier,jp-kana,バリアー
rb,barrier,en,BARRIER
rb,barrier,fr,BOUCLIER
rb,barrier,it,BARRIERA
rb,barrier,de,BARRIERE
rb,barrier,es,BARRERA
rb,bide,jp-kana,がまん
rb,bide,en,BIDE
rb,bide,fr,PATIENCE
rb,bide,it,PAZIENZA
rb,bide,de,GEDULD
rb,bide,es,VENGANZA
rb,bind,jp-kana,しめつける
rb,bind,en,BIND
rb,bind,fr,ETREINTE
rb,bind,it,LEGATUTTO
rb,bind,de,KLAMMERGRIFF
rb,bind,es,ATADURA
rb,bite,jp-kana,かみつく
rb,bite,en,BITE
rb,bite,fr,MORSURE
rb,bite,it,MORSO
rb,bite,de,BISS
rb,bite,es,MORDISCO
rb,blizzard,jp-kana,ふぶき
rb,blizzard,en,BLIZZARD
rb,blizzard,fr,BLIZZARD
rb,blizzard,it,BORA
rb,blizzard,de,BLIZZARD
rb,blizzard,es,VENTISCA
rb,body-slam,jp-kana,のしかかり
rb,body-slam,en,BODY SLAM
rb,body-slam,fr,PLAQUAGE
rb,body-slam,it,BODY SLAM
rb,body-slam,de,BODYSLAM
rb,body-slam,es,GOLPE CUERPO
rb,bone-club,jp-kana,ホネこんぼう
rb,bone-club,en,BONE CLUB
rb,bone-club,fr,MASSD’OS
rb,bone-club,it,OSSOCLAVA
rb,bone-club,de,KNOCHENKEULE
rb,bone-club,es,HUESO PALO
rb,bonemerang,jp-kana,ホネブーメラン
rb,bonemerang,en,BONEMERANG
rb,bonemerang,fr,OSMERANG
rb,bonemerang,it,OSSOMERANG
rb,bonemerang,de,KNOCHMERANG
rb,bonemerang,es,HUESOMERANG
rb,bubble,jp-kana,あわ
rb,bubble,en,BUBBLE
rb,bubble,fr,ECUME
rb,bubble,it,BOLLA
rb,bubble,de,BLUBBER
rb,bubble,es,BURBUJA
rb,bubble-beam,jp-kana,バブルこうせん
rb,bubble-beam,en,BUBBLEBEAM
rb,bubble-beam,fr,BULLES D’O
rb,bubble-beam,it,BOLLARAGGIO
rb,bubble-beam,de,BLUBBSTRAHL
rb,bubble-beam,es,RAYO BURBUJA
rb,clamp,jp-kana,からではさむ
rb,clamp,en,CLAMP
rb,clamp,fr,CLAQUOIR
rb,clamp,it,TENAGLIA
rb,clamp,de,SCHNAPPER
rb,clamp,es,TENAZA
rb,comet-punch,jp-kana,れんぞくパンチ
rb,comet-punch,en,COMET PUNCH
rb,comet-punch,fr,POING COMETE
rb,comet-punch,it,COMETAPUGNO
rb,comet-punch,de,KOMETENHIEB
rb,comet-punch,es,PUñO COMETA
rb,confuse-ray,jp-kana,あやしいひかり
rb,confuse-ray,en,CONFUSE RAY
rb,confuse-ray,fr,ONDE FOLIE
rb,confuse-ray,it,STORDIRAGGIO
rb,confuse-ray,de,KONFUSTRAHL
rb,confuse-ray,es,RAYO CONFUSO
rb,confusion,jp-kana,ねんりき
rb,confusion,en,CONFUSION
rb,confusion,fr,CHOC MENTAL
rb,confusion,it,CONFUSIONE
rb,confusion,de,KONFUSION
rb,confusion,es,CONFUSIÓN
rb,constrict,jp-kana,からみつく
rb,constrict,en,CONSTRICT
rb,constrict,fr,CONSTRICTION
rb,constrict,it,LIMITAZIONE
rb,constrict,de,UMKLAMMERUNG
rb,constrict,es,RESTRICCIÓN
rb,conversion,jp-kana,テクスチャー
rb,conversion,en,CONVERSION
rb,conversion,fr,ADAPTATION
rb,conversion,it,CONVERSIONE
rb,conversion,de,UMWANDLUNG
rb,conversion,es,CONVERSIÓN
rb,counter,jp-kana,カウンター
rb,counter,en,COUNTER
rb,counter,fr,RIPOSTE
rb,counter,it,CONTATORE
rb,counter,de,KONTER
rb,counter,es,CONTADOR
rb,crabhammer,jp-kana,クラブハンマー
rb,crabhammer,en,CRABHAMMER
rb,crabhammer,fr,PINCE-MASSE
rb,crabhammer,it,MARTELLATA
rb,crabhammer,de,KRABBHAMMER
rb,crabhammer,es,MARTILLAZO
rb,cut,jp-kana,いあいぎり
rb,cut,en,CUT
rb,cut,fr,COUPE
rb,cut,it,TAGLIO
rb,cut,de,ZERSCHNEIDER
rb,cut,es,CORTE
rb,defense-curl,jp-kana,まるくなる
rb,defense-curl,en,DEFENSE CURL
rb,defense-curl,fr,BOUL’ARMURE
rb,defense-curl,it,RICCIOLSCUDO
rb,defense-curl,de,EINIGLER
rb,defense-curl,es,RIZO DEFENSA
rb,dig,jp-kana,あなをほる
rb,dig,en,DIG
rb,dig,fr,TUNNEL
rb,dig,it,FOSSA
rb,dig,de,SCHAUFLER
rb,dig,es,EXCAVAR
rb,disable,jp-kana,かなしばり
rb,disable,en,DISABLE
rb,disable,fr,ENTRAVE
rb,disable,it,INIBITORE
rb,disable,de,AUSSETZER
rb,disable,es,ANULACIÓN
rb,dizzy-punch,jp-kana,ピヨピヨパンチ
rb,dizzy-punch,en,DIZZY PUNCH
rb,dizzy-punch,fr,UPPERCUT
rb,dizzy-punch,it,STORDIPUGNO
rb,dizzy-punch,de,IRRSCHLAG
rb,dizzy-punch,es,PUñO-MAREO
rb,double-edge,jp-kana,すてみタックル
rb,double-edge,en,DOUBLE-EDGE
rb,double-edge,fr,DAMOCLES
rb,double-edge,it,SDOPPIATORE
rb,double-edge,de,RISIKOTACKLE
rb,double-edge,es,DOBLE FILO
rb,double-kick,jp-kana,にどげり
rb,double-kick,en,DOUBLE KICK
rb,double-kick,fr,DOUBLE PIED
rb,double-kick,it,DOPPIOCALCIO
rb,double-kick,de,DOPPELKICK
rb,double-kick,es,DOBLE PATADA
rb,double-slap,jp-kana,おうふくビンタ
rb,double-slap,en,DOUBLESLAP
rb,double-slap,fr,TORGNOLES
rb,double-slap,it,DOPPIASBERLA
rb,double-slap,de,DUPLEXHIEB
rb,double-slap,es,DOBLEBOFETÓN
rb,double-team,jp-kana,かげぶんしん
rb,double-team,en,DOUBLE TEAM
rb,double-team,fr,REFLET
rb,double-team,it,DOPPIOTEAM
rb,double-team,de,DOPPELTEAM
rb,double-team,es,DOBLE EQUIPO
rb,dragon-rage,jp-kana,りゅうのいかり
rb,dragon-rage,en,DRAGON RAGE
rb,dragon-rage,fr,DRACO-RAGE
rb,dragon-rage,it,IRA DI DRAGO
rb,dragon-rage,de,DRACHENWUT
rb,dragon-rage,es,FURIA DRAGÓN
rb,dream-eater,jp-kana,ゆめくい
rb,dream-eater,en,DREAM EATER
rb,dream-eater,fr,DEVOREVE
rb,dream-eater,it,MANGIASOGNI
rb,dream-eater,de,TRAUMFRESSER
rb,dream-eater,es,COME SUEñOS
rb,drill-peck,jp-kana,ドリルくちばし
rb,drill-peck,en,DRILL PECK
rb,drill-peck,fr,BEC VRILLE
rb,drill-peck,it,PERFORBECCO
rb,drill-peck,de,BOHRSCHNABEL
rb,drill-peck,es,PICO TALADRO
rb,earthquake,jp-kana,じしん
rb,earthquake,en,EARTHQUAKE
rb,earthquake,fr,SEISME
rb,earthquake,it,TERREMOTO
rb,earthquake,de,ERDBEBEN
rb,earthquake,es,TERREMOTO
rb,egg-bomb,jp-kana,タマゴばくだん
rb,egg-bomb,en,EGG BOMB
rb,egg-bomb,fr,BOMB’OEUF
rb,egg-bomb,it,UOVOBOMBA
rb,egg-bomb,de,EIERBOMBE
rb,egg-bomb,es,BOMBA HUEVO
rb,ember,jp-kana,ひのこ
rb,ember,en,EMBER
rb,ember,fr,FLAMMECHE
rb,ember,it,BRACIERE
rb,ember,de,GLUT
rb,ember,es,ASCUAS
rb,explosion,jp-kana,だいばくはつ
rb,explosion,en,EXPLOSION
rb,explosion,fr,EXPLOSION
rb,explosion,it,ESPLOSIONE
rb,explosion,de,EXPLOSION
rb,explosion,es,EXPLOSIÓN
rb,fire-blast,jp-kana,だいもんじ
rb,fire-blast,en,FIRE BLAST
rb,fire-blast,fr,DEFLAGRATION
rb,fire-blast,it,FUOCOBOMBA
rb,fire-blast,de,FEUERSTURM
rb,fire-blast,es,LLAMARADA
rb,fire-punch,jp-kana,ほのおのパンチ
rb,fire-punch,en,FIRE PUNCH
rb,fire-punch,fr,POING DE FEU
rb,fire-punch,it,FUOCOPUGNO
rb,fire-punch,de,FEUERSCHLAG
rb,fire-punch,es,PUñO FUEGO
rb,fire-spin,jp-kana,ほのおのうず
rb,fire-spin,en,FIRE SPIN
rb,fire-spin,fr,DANSEFLAMME
rb,fire-spin,it,TURBOFUOCO
rb,fire-spin,de,FEUERWIRBEL
rb,fire-spin,es,GIRO FUEGO
rb,fissure,jp-kana,じわれ
rb,fissure,en,FISSURE
rb,fissure,fr,ABIME
rb,fissure,it,ABISSO
rb,fissure,de,GEOFISSUR
rb,fissure,es,FISURA
rb,flamethrower,jp-kana,かえんほうしゃ
rb,flamethrower,en,FLAMETHROWER
rb,flamethrower,fr,LANCE-FLAMME
rb,flamethrower,it,LANCIAFIAMME
rb,flamethrower,de,FLAMMENWURF
rb,flamethrower,es,LANZALLAMAS
rb,flash,jp-kana,フラッシュ
rb,flash,en,FLASH
rb,flash,fr,FLASH
rb,flash,it,FLASH
rb,flash,de,BLITZ
rb,flash,es,DESTELLO
rb,fly,jp-kana,そらをとぶ
rb,fly,en,FLY
rb,fly,fr,VOL
rb,fly,it,VOLO
rb,fly,de,FLIEGEN
rb,fly,es,VUELO
rb,focus-energy,jp-kana,きあいだめ
rb,focus-energy,en,FOCUS ENERGY
rb,focus-energy,fr,PUISSANCE
rb,focus-energy,it,ENERGY CONC.
rb,focus-energy,de,ENERGIEFOKUS
rb,focus-energy,es,FOCO ENERGÍA
rb,fury-attack,jp-kana,みだれづき
rb,fury-attack,en,FURY ATTACK
rb,fury-attack,fr,FURIE
rb,fury-attack,it,FURIA
rb,fury-attack,de,FURIENSCHLAG
rb,fury-attack,es,ATAQUE FURIA
rb,fury-swipes,jp-kana,みだれひっかき
rb,fury-swipes,en,FURY SWIPES
rb,fury-swipes,fr,COMBO-GRIFFE
rb,fury-swipes,it,SFURIATE
rb,fury-swipes,de,KRATZFURIE
rb,fury-swipes,es,GOLPES FURIA
rb,glare,jp-kana,へびにらみ
rb,glare,en,GLARE
rb,glare,fr,INTIMIDATION
rb,glare,it,BAGLIORE
rb,glare,de,GIFTBLICK
rb,glare,es,DESLUMBRAR
rb,growl,jp-kana,なきごえ
rb,growl,en,GROWL
rb,growl,fr,RUGISSEMENT
rb,growl,it,RUGGITO
rb,growl,de,HEULER
rb,growl,es,GRUñIDO
rb,growth,jp-kana,せいちょう
rb,growth,en,GROWTH
rb,growth,fr,CROISSANCE
rb,growth,it,CRESCITA
rb,growth,de,WACHSTUM
rb,growth,es,DESARROLLO
rb,guillotine,jp-kana,ハサミギロチン
rb,guillotine,en,GUILLOTINE
rb,guillotine,fr,GUILLOTINE
rb,guillotine,it,GHIGLIOTTINA
rb,guillotine,de,GUILLOTINE
rb,guillotine,es,GUILLOTINA
rb,gust,jp-kana,かぜおこし
rb,gust,en,GUST
rb,gust,fr,TORNADE
rb,gust,it,RAFFICA
rb,gust,de,WINDSTOSS
rb,gust,es,TORNADO
rb,harden,jp-kana,かたくなる
rb,harden,en,HARDEN
rb,harden,fr,ARMURE
rb,harden,it,RAFFORZATORE
rb,harden,de,HÄRTNER
rb,harden,es,FORTALEZA
rb,haze,jp-kana,くろいきり
rb,haze,en,HAZE
rb,haze,fr,BUEE NOIRE
rb,haze,it,NUBE
rb,haze,de,DUNKELNEBEL
rb,haze,es,NIEBLA
rb,headbutt,jp-kana,ずつき
rb,headbutt,en,HEADBUTT
rb,headbutt,fr,COUP D’BOULE
rb,headbutt,it,BOTTINTESTA
rb,headbutt,de,KOPFNUSS
rb,headbutt,es,GOLPE CABEZA
rb,high-jump-kick,jp-kana,とびひざげり
rb,high-jump-kick,en,HI JUMP KICK
rb,high-jump-kick,fr,PIED VOLTIGE
rb,high-jump-kick,it,CALCINVOLO
rb,high-jump-kick,de,TURMKICK
rb,high-jump-kick,es,PATADA S.ALTA
rb,horn-attack,jp-kana,つのでつく
rb,horn-attack,en,HORN ATTACK
rb,horn-attack,fr,KOUD’KORNE
rb,horn-attack,it,INCORNATA
rb,horn-attack,de,HORNATTACKE
rb,horn-attack,es,CORNADA
rb,horn-drill,jp-kana,つのドリル
rb,horn-drill,en,HORN DRILL
rb,horn-drill,fr,EMPAL’KORNE
rb,horn-drill,it,PERFORCORNO
rb,horn-drill,de,HORNBOHRER
rb,horn-drill,es,PERFORADOR
rb,hydro-pump,jp-kana,ハイドロポンプ
rb,hydro-pump,en,HYDRO PUMP
rb,hydro-pump,fr,HYDROCANON
rb,hydro-pump,it,IDROPOMPA
rb,hydro-pump,de,HYDROPUMPE
rb,hydro-pump,es,HIDRO BOMBA
rb,hyper-beam,jp-kana,はかいこうせん
rb,hyper-beam,en,HYPER BEAM
rb,hyper-beam,fr,ULTRALASER
rb,hyper-beam,it,IPER-RAGGIO
rb,hyper-beam,de,HYPERSTRAHL
rb,hyper-beam,es,HÍPER RAYO
rb,hyper-fang,jp-kana,ひっさつまえば
rb,hyper-fang,en,HYPER FANG
rb,hyper-fang,fr,CROC DE MORT
rb,hyper-fang,it,IPERZANNA
rb,hyper-fang,de,HYPERZAHN
rb,hyper-fang,es,HIP.COLMILLO
rb,hypnosis,jp-kana,さいみんじゅつ
rb,hypnosis,en,HYPNOSIS
rb,hypnosis,fr,HYPNOSE
rb,hypnosis,it,IPNOSI
rb,hypnosis,de,HYPNOSE
rb,hypnosis,es,HIPNOSIS
rb,ice-beam,jp-kana,れいとうビーム
rb,ice-beam,en,ICE BEAM
rb,ice-beam,fr,LASER GLACE
rb,ice-beam,it,GELORAGGIO
rb,ice-beam,de,EISSTRAHL
rb,ice-beam,es,RAYO HIELO
rb,ice-punch,jp-kana,れいとうパンチ
rb,ice-punch,en,ICE PUNCH
rb,ice-punch,fr,POINGLACE
rb,ice-punch,it,GELOPUGNO
rb,ice-punch,de,EISHIEB
rb,ice-punch,es,PUñO HIELO
rb,jump-kick,jp-kana,とびげり
rb,jump-kick,en,JUMP KICK
rb,jump-kick,fr,PIED SAUTE
rb,jump-kick,it,CALCIO-SALTO
rb,jump-kick,de,SPRUNGKICK
rb,jump-kick,es,PATADA SALTO
rb,karate-chop,jp-kana,からてチョップ
rb,karate-chop,en,KARATE CHOP
rb,karate-chop,fr,POING-KARATE
rb,karate-chop,it,COLPO-KARATE
rb,karate-chop,de,KARATESCHLAG
rb,karate-chop,es,GOLPE KARATE
rb,kinesis,jp-kana,スプーンまげ
rb,kinesis,en,KINESIS
rb,kinesis,fr,TELEKINESIE
rb,kinesis,it,CINÈSI
rb,kinesis,de,PSYKRAFT
rb,kinesis,es,KINÉTICO
rb,leech-life,jp-kana,きゅうけつ
rb,leech-life,en,LEECH LIFE
rb,leech-life,fr,VAMPIRISME
rb,leech-life,it,SANGUISUGA
rb,leech-life,de,BLUTSAUGER
rb,leech-life,es,CHUPA VIDAS
rb,leech-seed,jp-kana,やどりぎのタネ
rb,leech-seed,en,LEECH SEED
rb,leech-seed,fr,VAMPIGRAINE
rb,leech-seed,it,PARASSISEME
rb,leech-seed,de,EGELSAMEN
rb,leech-seed,es,DRENADORAS
rb,leer,jp-kana,にらみつける
rb,leer,en,LEER
rb,leer,fr,GROZ’YEUX
rb,leer,it,FULMISGUARDO
rb,leer,de,SILBERBLICK
rb,leer,es,MALICIOSO
rb,lick,jp-kana,したでなめる
rb,lick,en,LICK
rb,lick,fr,LECHOUILLE
rb,lick,it,LECCATA
rb,lick,de,SCHLECKER
rb,lick,es,LENGÜETAZO
rb,light-screen,jp-kana,ひかりのかべ
rb,light-screen,en,LIGHT SCREEN
rb,light-screen,fr,MUR LUMIERE
rb,light-screen,it,SCHERMO-LUCE
rb,light-screen,de,LICHTSCHILD
rb,light-screen,es,PANTALLA LUZ
rb,lovely-kiss,jp-kana,あくまのキッス
rb,lovely-kiss,en,LOVELY KISS
rb,lovely-kiss,fr,GROBISOU
rb,lovely-kiss,it,DEMONBACIO
rb,lovely-kiss,de,TODESKUSS
rb,lovely-kiss,es,BESO AMOROSO
rb,low-kick,jp-kana,けたぐり
rb,low-kick,en,LOW KICK
rb,low-kick,fr,BALAYAGE
rb,low-kick,it,COLPO BASSO
rb,low-kick,de,FUSSKICK
rb,low-kick,es,PATADA BAJA
rb,meditate,jp-kana,ヨガのポーズ
rb,meditate,en,MEDITATE
rb,meditate,fr,YOGA
rb,meditate,it,MEDITAZIONE
rb,meditate,de,MEDITATION
rb,meditate,es,MEDITACIÓN
rb,mega-drain,jp-kana,メガドレイン
rb,mega-drain,en,MEGA DRAIN
rb,mega-drain,fr,MEGA-SANGSUE
rb,mega-drain,it,MEGASSORBIM.
rb,mega-drain,de,MEGASAUGER
rb,mega-drain,es,MEGA AGOTAR
rb,mega-kick,jp-kana,メガトンキック
rb,mega-kick,en,MEGA KICK
rb,mega-kick,fr,ULTIMAWASHI
rb,mega-kick,it,MEGACALCIO
rb,mega-kick,de,MEGAKICK
rb,mega-kick,es,MEGA PATADA
rb,mega-punch,jp-kana,メガトンパンチ
rb,mega-punch,en,MEGA PUNCH
rb,mega-punch,fr,ULTIMAPOING
rb,mega-punch,it,MEGAPUGNO
rb,mega-punch,de,MEGAHIEB
rb,mega-punch,es,MEGA PUñO
rb,metronome,jp-kana,ゆびをふる
rb,metronome,en,METRONOME
rb,metronome,fr,METRONOME
rb,metronome,it,METRONOMO
rb,metronome,de,METRONOM
rb,metronome,es,METRÓNOMO
rb,mimic,jp-kana,ものまね
rb,mimic,en,MIMIC
rb,mimic,fr,COPIE
rb,mimic,it,MIMICA
rb,mimic,de,MIMIKRY
rb,mimic,es,MIMÉTICO
rb,minimize,jp-kana,ちいさくなる
rb,minimize,en,MINIMIZE
rb,minimize,fr,LILLIPUT
rb,minimize,it,MINIMIZZ.
rb,minimize,de,KOMPRIMATOR
rb,minimize,es,REDUCCIÓN
rb,mirror-move,jp-kana,オウムがえし
rb,mirror-move,en,MIRROR MOVE
rb,mirror-move,fr,MIMIQUE
rb,mirror-move,it,SPECULMOSSA
rb,mirror-move,de,SPIEGELTRICK
rb,mirror-move,es,MOV. ESPEJO
rb,mist,jp-kana,しろいきり
rb,mist,en,MIST
rb,mist,fr,BRUME
rb,mist,it,NEBBIA
rb,mist,de,WEISSNEBEL
