game_identifier,pokemon_identifier,language_identifier,game_revision_from,game_revision_to,flavor_text
ruby,paras,en,rev-0,rev-0,"PARAS has parasitic mushrooms growing
on its back called tochukaso. They grow
large by drawing nutrients from the BUGPOKéMON host. They are highly valued as
a medicine for extending life."
ruby,mawile,en,rev-0,rev-0,"MAWHILE’s huge jaws are actually steel
horns that have been transformed.
Its docile-looking face serves to lullits foe into letting down its guard.
When the foe least expects it, MAWHILE
chomps it with its gaping jaws."
sapphire,paras,en,rev-0,rev-0,"PARAS has parasitic mushrooms growing
on its back called tochukaso. They grow
large by drawing nutrients from thisBUG POKéMON host. They are highly
valued as a medicine for extending life."
fire-red,chikorita,en,rev-0,rev-0,"Its pleasantly aromatic leaves have the
ability to check the humidity and
temperature."
fire-red,tyranitar,en,rev-0,rev-0,"Its body can’t be harmed by any sort of
attack, so it is very eager to make
challenges against enemies."
sword,mewtwo,jp-kana,base,base,"ミュウの　いでんしから　つくられた
ポケモン。　あっとうてき　パワーと
きょうぼうな　こころを　もつ。"
sword,mewtwo,jp-kanji,base,base,"ミュウの　遺伝子から　つくられた
ポケモン。　圧倒的　パワーと
狂暴な　心を　もつ。"
sword,mewtwo,en,base,base,"Created from the DNA of Mew, this Pokémon is a
dangerous combination of overwhelming power
and a savage heart."
sword,mewtwo,fr,base,base,"Créé à partir des gènes de Mew, ce Pokémon
est doté d’une puissance remarquable et animé
par une grande férocité."
sword,mewtwo,it,base,base,"Un Pokémon creato usando i geni di Mew. Ha
un’indole feroce ed è dotato di una potenza
impressionante."
sword,mewtwo,de,base,base,"Dieses Pokémon wurde aus Mews Genen
erschaffen. Es hat ein wildes Herz und
verfügt über enorme Kräfte."
sword,mewtwo,es,base,base,"Este Pokémon se creó a partir de los genes de
Mew. Exhibe una naturaleza salvaje y posee una
fuerza abrumadora."
sword,mewtwo,ko,base,base,"뮤의 유전자로부터 만들어진
포켓몬. 압도적인 파워와
난폭한 마음을 가졌다."
