game_identifier,pokemon_identifier,language_identifier,game_revision,flavor_text
ruby,paras,en,rev-0,"PARAS has parasitic mushrooms growing
on its back called tochukaso. They grow
large by drawing nutrients from the BUGPOKéMON host. They are highly valued as
a medicine for extending life."
ruby,mawile,en,rev-0,"MAWHILE’s huge jaws are actually steel
horns that have been transformed.
Its docile-looking face serves to lullits foe into letting down its guard.
When the foe least expects it, MAWHILE
chomps it with its gaping jaws."
sapphire,paras,en,rev-0,"PARAS has parasitic mushrooms growing
on its back called tochukaso. They grow
large by drawing nutrients from thisBUG POKéMON host. They are highly
valued as a medicine for extending life."
fire-red,chikorita,en,rev-0,"Its pleasantly aromatic leaves have the
ability to check the humidity and
temperature."
fire-red,tyranitar,en,rev-0,"Its body can’t be harmed by any sort of
attack, so it is very eager to make
challenges against enemies."
sword,mewtwo,jp-kana,base,"ミュウの　いでんしから　つくられた
ポケモン。　あっとうてき　パワーと
きょうぼうな　こころを　もつ。"
sword,mewtwo,jp-kanji,base,"ミュウの　遺伝子から　つくられた
ポケモン。　圧倒的　パワーと
狂暴な　心を　もつ。"
sword,mewtwo,en,base,"Created from the DNA of Mew, this Pokémon is a
dangerous combination of overwhelming power
and a savage heart."
sword,mewtwo,fr,base,"Créé à partir des gènes de Mew, ce Pokémon
est doté d’une puissance remarquable et animé
par une grande férocité."
sword,mewtwo,it,base,"Un Pokémon creato usando i geni di Mew. Ha
un’indole feroce ed è dotato di una potenza
impressionante."
sword,mewtwo,de,base,"Dieses Pokémon wurde aus Mews Genen
erschaffen. Es hat ein wildes Herz und
verfügt über enorme Kräfte."
sword,mewtwo,es,base,"Este Pokémon se creó a partir de los genes de
Mew. Exhibe una naturaleza salvaje y posee una
fuerza abrumadora."
sword,mewtwo,ko,base,"뮤의 유전자로부터 만들어진
포켓몬. 압도적인 파워와
난폭한 마음을 가졌다."
sword,mewtwo,zh-simp,base,"通过梦幻的基因制造出来的
宝可梦。拥有无与伦比的量
和凶暴的心灵。"
sword,mewtwo,zh-trad,base,"透過夢幻的基因製造出來的
寶可夢。擁有無與倫比的力量
和凶暴的心靈。"
sword,mew,jp-kana,base,"すべての　ポケモンの　せんぞと
かんがえられている。　ちのうが
たかく　あらゆる　わざが　つかえる。"
sword,mew,jp-kanji,base,"すべての　ポケモンの　先祖と
考えられている。　知能が
高く　あらゆる　技が　使える。"
sword,mew,en,base,"It’s very intelligent and can use an incredible
variety of moves. Many believe that all other
Pokémon are descendants of this one."
sword,mew,fr,base,"On pense qu’il est l’ancêtre de tous les Pokémon.
Il possède une intelligence exceptionnelle
qui lui permet d’utiliser toutes les capacités."
sword,mew,it,base,"Si ritiene che sia l’antenato di tutti i Pokémon.
È dotato di grande intelligenza ed è in grado
di usare qualsiasi mossa."
sword,mew,de,base,"Man sagt, es sei der Vorfahre aller Pokémon.
Es ist sehr intelligent und kann jede Attacke
erlernen."
sword,mew,es,base,"Considerado el ancestro de todos los Pokémon,
posee una inteligencia extraordinaria y es capaz
de usar cualquier técnica."
sword,mew,ko,base,"모든 포켓몬의 선조로
여겨지고 있다. 지능이 높아서
모든 기술을 사용할 수 있다."
sword,mew,zh-simp,base,"许多人认为它是所有宝可梦
的祖先。有着很高的智力，
能够使用一切的招式。"
sword,mew,zh-trad,base,"許多人認為牠是所有寶可夢
的祖先。有著很高的智力，
能夠使用一切的招式。"
sword,carvanha,it,base,"È di indole timida e non va mai a caccia da solo,
ma in un gruppo di quattro o cinque esemplari
diventa molto feroce."
sword,purrloin,zh-simp,base,"为了要看见人们困扰的样子
而去偷盗他们的物品。
和偷儿狐是竞争对手。"
sword,purrloin,zh-simp,upd-110,"为了要看见人们困扰的样子
而去偷盗他们的物品。
和偷儿狐是竞争对手。"
sword,purrloin,zh-simp,upd-111,"为了要看见人们困扰的样子
而去偷盗他们的物品。
和偷儿狐是竞争对手。"
sword,purrloin,zh-simp,upd-120,"为了要看见人们困扰的样子
而去偷盗他们的物品。
和偷儿狐是竞争对手。"
sword,purrloin,zh-simp,upd-121,"为了要看见人们困扰的样子
而去偷盗他们的物品。
和偷儿狐是竞争对手。"
sword,fletchinder,jp-kana,upd-120,"すあなのなかに　ひのこを　とばし　
おどろいて　でできた　えものを
するどい　ツメで　しとめるのだ。"
sword,fletchinder,jp-kana,upd-121,"すあなのなかに　ひのこを　とばし　
おどろいて　でできた　えものを
するどい　ツメで　しとめるのだ。"
sword,pancham,zh-simp,base,"会模仿自己敬为头头的
流氓熊猫，向它学习战斗
及捕捉猎物的方法。"
sword,pancham,zh-simp,upd-110,"会模仿自己敬为头头的
流氓熊猫，向它学习战斗
及捕捉猎物的方法。"
sword,pancham,zh-simp,upd-111,"会模仿自己敬为头头的
流氓熊猫，向它学习战斗
及捕捉猎物的方法。"
sword,pancham,zh-simp,upd-120,"会模仿自己敬为头头的
流氓熊猫，向它学习战斗
及捕捉猎物的方法。"
sword,pancham,zh-simp,upd-121,"会模仿自己敬为头头的
流氓熊猫，向它学习战斗
及捕捉猎物的方法。"
shield,mewtwo,jp-kana,base,"ある　かがくしゃが　けんきゅうの
すえに　うみだした。　そのちからは
たたかうことに　とっか　している。"
shield,mewtwo,jp-kanji,base,"ある　科学者が　研究の
末に　生み出した。　その力は
戦うことに　特化　している。"
shield,mewtwo,en,base,"The research efforts of a certain scientist
ultimately resulted in this Pokémon.
Its powers are dedicated to battling."
shield,mewtwo,fr,base,"Ce Pokémon est le fruit des expériences
d’un scientifique. Sa puissance se révèle
tout particulièrement en combat."
shield,mewtwo,it,base,"È stato creato da uno scienziato dopo lunghe
ricerche. La sua potenza emerge specialmente
nella lotta."
shield,mewtwo,de,base,"Dieses Pokémon ist das Resultat der Experimente
eines gewissen Forschers. Es setzt all seine Kraft
fürs Kämpfen ein."
shield,mewtwo,es,base,"Este Pokémon es el fruto de la investigación de
cierto científico. La fuerza que atesora luce en
todo su esplendor durante los combates."
shield,mewtwo,ko,base,"어느 과학자의 연구로
태어났다. 그 힘은
싸움에 특화되어 있다."
shield,mewtwo,zh-simp,base,"某位科学家的研究
造就了超梦的诞生。
它的力量专为战斗而存在。"
shield,mewtwo,zh-trad,base,"某位科學家的研究
造就了超夢的誕生。
牠的力量專為戰鬥而存在。"
shield,mew,jp-kana,base,"ぜつめつしたと　いわれているが
もくげき　じょうほうが　あとを
たたない　まぼろしの　ポケモン。"
shield,mew,jp-kanji,base,"絶滅したと　言われているが
目撃　情報が　あとを
絶たない　幻の　ポケモン。"
shield,mew,en,base,"This mythical Pokémon is said to be extinct, but
sightings of it are still being reported to this day."
shield,mew,fr,base,"Des témoins continuent de rapporter l’existence
de ce Pokémon fabuleux que l’on dit pourtant
disparu."
shield,mew,it,base,"Pokémon misterioso che si credeva estinto,
ma di cui sono stati riportati innumerevoli
avvistamenti."
shield,mew,de,base,"Dieses Mysteriöse Pokémon gilt als ausgestorben,
doch es melden sich immer wieder Augenzeugen,
laut denen es noch immer existiert."
shield,mew,es,base,"Los repetidos avistamientos registrados de este
Pokémon singular ponen en entredicho la
creencia popular de su extinción."
shield,mew,ko,base,"멸종했다고 전해지지만
목격 정보가 끊이지 않는
환상의 포켓몬이다."
shield,mew,zh-simp,base,"虽然被人们视为已经灭绝，
目击到这只幻之宝可梦
的传闻依然接连不断。"
shield,mew,zh-trad,base,"雖然被人們認為已經滅絕，
目擊到這隻幻之寶可夢
的傳聞依然接連不斷。"
shield,porygon2,zh-simp,upd-120,"在装载了ＡＩ功能后，
多边兽Ⅱ便开始用只有彼此
能懂的神秘语言互相交流了。"
shield,porygon2,zh-simp,upd-121,"在装载了ＡＩ功能后，
多边兽Ⅱ便开始用只有彼此
能懂的神秘语言互相交流了。"
shield,liepard,zh-simp,base,"和狐大盗争抢地盘。
能够悄无声息地
从背后偷偷靠近猎物。"
shield,liepard,zh-simp,upd-110,"和狐大盗争抢地盘。
能够悄无声息地
从背后偷偷靠近猎物。"
