pokemon_identifier,language_identifier,name
venusaur-mega,jp-kana,メガフシギバナ
venusaur-mega,jp-kanji,メガフシギバナ
venusaur-mega,en,Mega Venusaur
venusaur-mega,fr,Méga-Florizarre
venusaur-mega,it,MegaVenusaur
venusaur-mega,de,Mega-Bisaflor
venusaur-mega,es,Mega-Venusaur
venusaur-mega,ko,메가이상해꽃
venusaur-mega,zh-simp,超级妙蛙花
venusaur-mega,zh-trad,超級妙蛙花
venusaur-gigantamax,jp-kana,キョダイマックス
venusaur-gigantamax,jp-kanji,キョダイマックス
venusaur-gigantamax,en,Gigantamax
venusaur-gigantamax,fr,Gigamax
venusaur-gigantamax,it,Gigamax
venusaur-gigantamax,de,Gigadynamax
venusaur-gigantamax,es,Gigamax
venusaur-gigantamax,ko,거다이맥스
venusaur-gigantamax,zh-simp,超极巨化
venusaur-gigantamax,zh-trad,超極巨化
charizard-mega-x,jp-kana,メガリザードンＸ
charizard-mega-x,jp-kanji,メガリザードンＸ
charizard-mega-x,en,Mega Charizard X
charizard-mega-x,fr,Méga-Dracaufeu X
charizard-mega-x,it,MegaCharizard X
charizard-mega-x,de,Mega-Glurak X
charizard-mega-x,es,Mega-Charizard X
charizard-mega-x,ko,메가리자몽X
charizard-mega-x,zh-simp,超级喷火龙Ｘ
charizard-mega-x,zh-trad,超級噴火龍Ｘ
charizard-mega-y,jp-kana,メガリザードンＹ
charizard-mega-y,jp-kanji,メガリザードンＹ
charizard-mega-y,en,Mega Charizard Y
charizard-mega-y,fr,Méga-Dracaufeu Y
charizard-mega-y,it,MegaCharizard Y
charizard-mega-y,de,Mega-Glurak Y
charizard-mega-y,es,Mega-Charizard Y
charizard-mega-y,ko,메가리자몽Y
charizard-mega-y,zh-simp,超级喷火龙Ｙ
charizard-mega-y,zh-trad,超級噴火龍Ｙ
charizard-gigantamax,jp-kana,キョダイマックス
charizard-gigantamax,jp-kanji,キョダイマックス
charizard-gigantamax,en,Gigantamax
charizard-gigantamax,fr,Gigamax
charizard-gigantamax,it,Gigamax
charizard-gigantamax,de,Gigadynamax
charizard-gigantamax,es,Gigamax
charizard-gigantamax,ko,거다이맥스
charizard-gigantamax,zh-simp,超极巨化
charizard-gigantamax,zh-trad,超極巨化
blastoise-mega,jp-kana,メガカメックス
blastoise-mega,jp-kanji,メガカメックス
blastoise-mega,en,Mega Blastoise
blastoise-mega,fr,Méga-Tortank
blastoise-mega,it,MegaBlastoise
blastoise-mega,de,Mega-Turtok
blastoise-mega,es,Mega-Blastoise
blastoise-mega,ko,메가거북왕
blastoise-mega,zh-simp,超级水箭龟
blastoise-mega,zh-trad,超級水箭龜
blastoise-gigantamax,jp-kana,キョダイマックス
blastoise-gigantamax,jp-kanji,キョダイマックス
blastoise-gigantamax,en,Gigantamax
blastoise-gigantamax,fr,Gigamax
blastoise-gigantamax,it,Gigamax
blastoise-gigantamax,de,Gigadynamax
blastoise-gigantamax,es,Gigamax
blastoise-gigantamax,ko,거다이맥스
blastoise-gigantamax,zh-simp,超极巨化
blastoise-gigantamax,zh-trad,超極巨化
butterfree-gigantamax,jp-kana,キョダイマックス
butterfree-gigantamax,jp-kanji,キョダイマックス
butterfree-gigantamax,en,Gigantamax
butterfree-gigantamax,fr,Gigamax
butterfree-gigantamax,it,Gigamax
butterfree-gigantamax,de,Gigadynamax
butterfree-gigantamax,es,Gigamax
butterfree-gigantamax,ko,거다이맥스
butterfree-gigantamax,zh-simp,超极巨化
butterfree-gigantamax,zh-trad,超極巨化
beedrill-mega,jp-kana,メガスピアー
beedrill-mega,jp-kanji,メガスピアー
beedrill-mega,en,Mega Beedrill
beedrill-mega,fr,Méga-Dardargnan
beedrill-mega,it,MegaBeedrill
beedrill-mega,de,Mega-Bibor
beedrill-mega,es,Mega-Beedrill
beedrill-mega,ko,메가독침붕
beedrill-mega,zh-simp,超级大针蜂
beedrill-mega,zh-trad,超級大針蜂
pidgeot-mega,jp-kana,メガピジョット
pidgeot-mega,jp-kanji,メガピジョット
pidgeot-mega,en,Mega Pidgeot
pidgeot-mega,fr,Méga-Roucarnage
pidgeot-mega,it,MegaPidgeot
pidgeot-mega,de,Mega-Tauboss
pidgeot-mega,es,Mega-Pidgeot
pidgeot-mega,ko,메가피죤투
pidgeot-mega,zh-simp,超级大比鸟
pidgeot-mega,zh-trad,超級大比鳥
rattata-alolan-form,jp-kana,アローラのすがた
rattata-alolan-form,jp-kanji,アローラのすがた
rattata-alolan-form,en,Alola Form
rattata-alolan-form,fr,Forme d’Alola
rattata-alolan-form,it,Forma di Alola
rattata-alolan-form,de,Alola-Form
rattata-alolan-form,es,Forma de Alola
rattata-alolan-form,ko,알로라의 모습
rattata-alolan-form,zh-simp,阿罗拉的样子
rattata-alolan-form,zh-trad,阿羅拉的樣子
raticate-alolan-form,jp-kana,アローラのすがた
raticate-alolan-form,jp-kanji,アローラのすがた
raticate-alolan-form,en,Alola Form
raticate-alolan-form,fr,Forme d’Alola
raticate-alolan-form,it,Forma di Alola
