game_group_identifier,pokemon_species_identifier,language_identifier,name
rb,bulbasaur,jp-kana,フシギダネ
rb,bulbasaur,en,BULBASAUR
rb,bulbasaur,fr,BULBIZARRE
rb,bulbasaur,it,BULBASAUR
rb,bulbasaur,de,BISASAM
rb,bulbasaur,es,BULBASAUR
rb,ivysaur,jp-kana,フシギソウ
rb,ivysaur,en,IVYSAUR
rb,ivysaur,fr,HERBIZARRE
rb,ivysaur,it,IVYSAUR
rb,ivysaur,de,BISAKNOSP
rb,ivysaur,es,IVYSAUR
rb,venusaur,jp-kana,フシギバナ
rb,venusaur,en,VENUSAUR
rb,venusaur,fr,FLORIZARRE
rb,venusaur,it,VENUSAUR
rb,venusaur,de,BISAFLOR
rb,venusaur,es,VENUSAUR
rb,charmander,jp-kana,ヒトカゲ
rb,charmander,en,CHARMANDER
rb,charmander,fr,SALAMECHE
rb,charmander,it,CHARMANDER
rb,charmander,de,GLUMANDA
rb,charmander,es,CHARMANDER
rb,charmeleon,jp-kana,リザード
rb,charmeleon,en,CHARMELEON
rb,charmeleon,fr,REPTINCEL
rb,charmeleon,it,CHARMELEON
rb,charmeleon,de,GLUTEXO
rb,charmeleon,es,CHARMELEON
rb,charizard,jp-kana,リザードン
rb,charizard,en,CHARIZARD
rb,charizard,fr,DRACAUFEU
rb,charizard,it,CHARIZARD
rb,charizard,de,GLURAK
rb,charizard,es,CHARIZARD
rb,squirtle,jp-kana,ゼニガメ
rb,squirtle,en,SQUIRTLE
rb,squirtle,fr,CARAPUCE
rb,squirtle,it,SQUIRTLE
rb,squirtle,de,SCHIGGY
rb,squirtle,es,SQUIRTLE
rb,wartortle,jp-kana,カメール
rb,wartortle,en,WARTORTLE
rb,wartortle,fr,CARABAFFE
rb,wartortle,it,WARTORTLE
rb,wartortle,de,SCHILLOK
rb,wartortle,es,WARTORTLE
rb,blastoise,jp-kana,カメックス
rb,blastoise,en,BLASTOISE
rb,blastoise,fr,TORTANK
rb,blastoise,it,BLASTOISE
rb,blastoise,de,TURTOK
rb,blastoise,es,BLASTOISE
rb,caterpie,jp-kana,キャタピー
rb,caterpie,en,CATERPIE
rb,caterpie,fr,CHENIPAN
rb,caterpie,it,CATERPIE
rb,caterpie,de,RAUPY
rb,caterpie,es,CATERPIE
rb,metapod,jp-kana,トランセル
rb,metapod,en,METAPOD
rb,metapod,fr,CHRYSACIER
rb,metapod,it,METAPOD
rb,metapod,de,SAFCON
rb,metapod,es,METAPOD
rb,butterfree,jp-kana,バタフリー
rb,butterfree,en,BUTTERFREE
rb,butterfree,fr,PAPILUSION
rb,butterfree,it,BUTTERFREE
rb,butterfree,de,SMETTBO
rb,butterfree,es,BUTTERFREE
rb,weedle,jp-kana,ビードル
rb,weedle,en,WEEDLE
rb,weedle,fr,ASPICOT
rb,weedle,it,WEEDLE
rb,weedle,de,HORNLIU
rb,weedle,es,WEEDLE
rb,kakuna,jp-kana,コクーン
rb,kakuna,en,KAKUNA
rb,kakuna,fr,COCONFORT
rb,kakuna,it,KAKUNA
rb,kakuna,de,KOKUNA
rb,kakuna,es,KAKUNA
rb,beedrill,jp-kana,スピアー
rb,beedrill,en,BEEDRILL
rb,beedrill,fr,DARDARGNAN
rb,beedrill,it,BEEDRILL
rb,beedrill,de,BIBOR
rb,beedrill,es,BEEDRILL
rb,pidgey,jp-kana,ポッポ
rb,pidgey,en,PIDGEY
rb,pidgey,fr,ROUCOOL
rb,pidgey,it,PIDGEY
rb,pidgey,de,TAUBSI
rb,pidgey,es,PIDGEY
rb,pidgeotto,jp-kana,ピジョン
rb,pidgeotto,en,PIDGEOTTO
rb,pidgeotto,fr,ROUCOUPS
rb,pidgeotto,it,PIDGEOTTO
rb,pidgeotto,de,TAUBOGA
rb,pidgeotto,es,PIDGEOTTO
rb,pidgeot,jp-kana,ピジョット
rb,pidgeot,en,PIDGEOT
rb,pidgeot,fr,ROUCARNAGE
rb,pidgeot,it,PIDGEOT
rb,pidgeot,de,TAUBOSS
rb,pidgeot,es,PIDGEOT
rb,rattata,jp-kana,コラッタ
rb,rattata,en,RATTATA
rb,rattata,fr,RATTATA
rb,rattata,it,RATTATA
rb,rattata,de,RATTFRATZ
rb,rattata,es,RATTATA
rb,raticate,jp-kana,ラッタ
rb,raticate,en,RATICATE
rb,raticate,fr,RATTATAC
rb,raticate,it,RATICATE
rb,raticate,de,RATTIKARL
rb,raticate,es,RATICATE
rb,spearow,jp-kana,オニスズメ
rb,spearow,en,SPEAROW
rb,spearow,fr,PIAFABEC
rb,spearow,it,SPEAROW
rb,spearow,de,HABITAK
rb,spearow,es,SPEAROW
rb,fearow,jp-kana,オニドリル
rb,fearow,en,FEAROW
rb,fearow,fr,RAPASDEPIC
rb,fearow,it,FEAROW
rb,fearow,de,IBITAK
rb,fearow,es,FEAROW
rb,ekans,jp-kana,アーボ
rb,ekans,en,EKANS
rb,ekans,fr,ABO
rb,ekans,it,EKANS
rb,ekans,de,RETTAN
rb,ekans,es,EKANS
rb,arbok,jp-kana,アーボック
rb,arbok,en,ARBOK
rb,arbok,fr,ARBOK
rb,arbok,it,ARBOK
rb,arbok,de,ARBOK
rb,arbok,es,ARBOK
rb,pikachu,jp-kana,ピカチュウ
rb,pikachu,en,PIKACHU
rb,pikachu,fr,PIKACHU
rb,pikachu,it,PIKACHU
rb,pikachu,de,PIKACHU
rb,pikachu,es,PIKACHU
rb,raichu,jp-kana,ライチュウ
rb,raichu,en,RAICHU
rb,raichu,fr,RAICHU
rb,raichu,it,RAICHU
rb,raichu,de,RAICHU
rb,raichu,es,RAICHU
rb,sandshrew,jp-kana,サンド
rb,sandshrew,en,SANDSHREW
rb,sandshrew,fr,SABELETTE
rb,sandshrew,it,SANDSHREW
rb,sandshrew,de,SANDAN
rb,sandshrew,es,SANDSHREW
rb,sandslash,jp-kana,サンドパン
rb,sandslash,en,SANDSLASH
rb,sandslash,fr,SABLAIREAU
rb,sandslash,it,SANDSLASH
rb,sandslash,de,SANDAMER
rb,sandslash,es,SANDSLASH
rb,nidoran-f,jp-kana,ニドラン♀
rb,nidoran-f,en,NIDORAN♀
rb,nidoran-f,fr,NIDORAN♀
rb,nidoran-f,it,NIDORAN♀
rb,nidoran-f,de,NIDORAN♀
rb,nidoran-f,es,NIDORAN♀
rb,nidorina,jp-kana,ニドリーナ
rb,nidorina,en,NIDORINA
rb,nidorina,fr,NIDORINA
rb,nidorina,it,NIDORINA
rb,nidorina,de,NIDORINA
rb,nidorina,es,NIDORINA
rb,nidoqueen,jp-kana,ニドクイン
rb,nidoqueen,en,NIDOQUEEN
rb,nidoqueen,fr,NIDOQUEEN
rb,nidoqueen,it,NIDOQUEEN
rb,nidoqueen,de,NIDOQUEEN
rb,nidoqueen,es,NIDOQUEEN
rb,nidoran-m,jp-kana,ニドラン♂
rb,nidoran-m,en,NIDORAN♂
rb,nidoran-m,fr,NIDORAN♂
rb,nidoran-m,it,NIDORAN♂
rb,nidoran-m,de,NIDORAN♂
rb,nidoran-m,es,NIDORAN♂
rb,nidorino,jp-kana,ニドリーノ
rb,nidorino,en,NIDORINO
rb,nidorino,fr,NIDORINO
rb,nidorino,it,NIDORINO
rb,nidorino,de,NIDORINO
rb,nidorino,es,NIDORINO
rb,nidoking,jp-kana,ニドキング
rb,nidoking,en,NIDOKING
rb,nidoking,fr,NIDOKING
rb,nidoking,it,NIDOKING
rb,nidoking,de,NIDOKING
rb,nidoking,es,NIDOKING
rb,clefairy,jp-kana,ピッピ
rb,clefairy,en,CLEFAIRY
rb,clefairy,fr,MELOFEE
rb,clefairy,it,CLEFAIRY
rb,clefairy,de,PIEPI
rb,clefairy,es,CLEFAIRY
rb,clefable,jp-kana,ピクシー
rb,clefable,en,CLEFABLE
rb,clefable,fr,MELODELFE
rb,clefable,it,CLEFABLE
rb,clefable,de,PIXI
rb,clefable,es,CLEFABLE
rb,vulpix,jp-kana,ロコン
rb,vulpix,en,VULPIX
rb,vulpix,fr,GOUPIX
rb,vulpix,it,VULPIX
rb,vulpix,de,VULPIX
rb,vulpix,es,VULPIX
rb,ninetales,jp-kana,キュウコン
rb,ninetales,en,NINETALES
rb,ninetales,fr,FEUNARD
rb,ninetales,it,NINETALES
rb,ninetales,de,VULNONA
rb,ninetales,es,NINETALES
rb,jigglypuff,jp-kana,プリン
rb,jigglypuff,en,JIGGLYPUFF
rb,jigglypuff,fr,RONDOUDOU
rb,jigglypuff,it,JIGGLYPUFF
rb,jigglypuff,de,PUMMELUFF
rb,jigglypuff,es,JIGGLYPUFF
rb,wigglytuff,jp-kana,プクリン
rb,wigglytuff,en,WIGGLYTUFF
rb,wigglytuff,fr,GRODOUDOU
rb,wigglytuff,it,WIGGLYTUFF
rb,wigglytuff,de,KNUDDELUFF
rb,wigglytuff,es,WIGGLYTUFF
rb,zubat,jp-kana,ズバット
rb,zubat,en,ZUBAT
rb,zubat,fr,NOSFERAPTI
rb,zubat,it,ZUBAT
rb,zubat,de,ZUBAT
rb,zubat,es,ZUBAT
rb,golbat,jp-kana,ゴルバット
rb,golbat,en,GOLBAT
rb,golbat,fr,NOSFERALTO
rb,golbat,it,GOLBAT
rb,golbat,de,GOLBAT
rb,golbat,es,GOLBAT
rb,oddish,jp-kana,ナゾノクサ
rb,oddish,en,ODDISH
rb,oddish,fr,MYSTHERBE
rb,oddish,it,ODDISH
rb,oddish,de,MYRAPLA
rb,oddish,es,ODDISH
rb,gloom,jp-kana,クサイハナ
rb,gloom,en,GLOOM
rb,gloom,fr,ORTIDE
rb,gloom,it,GLOOM
rb,gloom,de,DUFLOR
rb,gloom,es,GLOOM
rb,vileplume,jp-kana,ラフレシア
rb,vileplume,en,VILEPLUME
rb,vileplume,fr,RAFFLESIA
rb,vileplume,it,VILEPLUME
rb,vileplume,de,GIFLOR
rb,vileplume,es,VILEPLUME
rb,paras,jp-kana,パラス
rb,paras,en,PARAS
rb,paras,fr,PARAS
rb,paras,it,PARAS
rb,paras,de,PARAS
rb,paras,es,PARAS
rb,parasect,jp-kana,パラセクト
rb,parasect,en,PARASECT
rb,parasect,fr,PARASECT
rb,parasect,it,PARASECT
rb,parasect,de,PARASEK
rb,parasect,es,PARASECT
rb,venonat,jp-kana,コンパン
rb,venonat,en,VENONAT
rb,venonat,fr,MIMITOSS
rb,venonat,it,VENONAT
rb,venonat,de,BLUZUK
rb,venonat,es,VENONAT
rb,venomoth,jp-kana,モルフォン
rb,venomoth,en,VENOMOTH
rb,venomoth,fr,AEROMITE
rb,venomoth,it,VENOMOTH
rb,venomoth,de,OMOT
rb,venomoth,es,VENOMOTH
rb,diglett,jp-kana,ディグダ
rb,diglett,en,DIGLETT
rb,diglett,fr,TAUPIQUEUR
rb,diglett,it,DIGLETT
rb,diglett,de,DIGDA
rb,diglett,es,DIGLETT
rb,dugtrio,jp-kana,ダグトリオ
rb,dugtrio,en,DUGTRIO
rb,dugtrio,fr,TRIOPIKEUR
rb,dugtrio,it,DUGTRIO
rb,dugtrio,de,DIGDRI
rb,dugtrio,es,DUGTRIO
rb,meowth,jp-kana,ニャース
rb,meowth,en,MEOWTH
rb,meowth,fr,MIAOUSS
rb,meowth,it,MEOWTH
rb,meowth,de,MAUZI
rb,meowth,es,MEOWTH
rb,persian,jp-kana,ペルシアン
rb,persian,en,PERSIAN
rb,persian,fr,PERSIAN
rb,persian,it,PERSIAN
rb,persian,de,SNOBILIKAT
rb,persian,es,PERSIAN
rb,psyduck,jp-kana,コダック
rb,psyduck,en,PSYDUCK
rb,psyduck,fr,PSYKOKWAK
rb,psyduck,it,PSYDUCK
rb,psyduck,de,ENTON
rb,psyduck,es,PSYDUCK
rb,golduck,jp-kana,ゴルダック
rb,golduck,en,GOLDUCK
rb,golduck,fr,AKWAKWAK
rb,golduck,it,GOLDUCK
rb,golduck,de,ENTORON
rb,golduck,es,GOLDUCK
rb,mankey,jp-kana,マンキー
rb,mankey,en,MANKEY
rb,mankey,fr,FEROSINGE
rb,mankey,it,MANKEY
rb,mankey,de,MENKI
rb,mankey,es,MANKEY
rb,primeape,jp-kana,オコリザル
rb,primeape,en,PRIMEAPE
rb,primeape,fr,COLOSSINGE
rb,primeape,it,PRIMEAPE
rb,primeape,de,RASAFF
rb,primeape,es,PRIMEAPE
rb,growlithe,jp-kana,ガーディ
rb,growlithe,en,GROWLITHE
rb,growlithe,fr,CANINOS
rb,growlithe,it,GROWLITHE
rb,growlithe,de,FUKANO
rb,growlithe,es,GROWLITHE
rb,arcanine,jp-kana,ウインディ
rb,arcanine,en,ARCANINE
rb,arcanine,fr,ARCANIN
rb,arcanine,it,ARCANINE
rb,arcanine,de,ARKANI
rb,arcanine,es,ARCANINE
rb,poliwag,jp-kana,ニョロモ
rb,poliwag,en,POLIWAG
rb,poliwag,fr,PTITARD
rb,poliwag,it,POLIWAG
rb,poliwag,de,QUAPSEL
rb,poliwag,es,POLIWAG
rb,poliwhirl,jp-kana,ニョロゾ
rb,poliwhirl,en,POLIWHIRL
rb,poliwhirl,fr,TETARTE
rb,poliwhirl,it,POLIWHIRL
rb,poliwhirl,de,QUAPUTZI
rb,poliwhirl,es,POLIWHIRL
rb,poliwrath,jp-kana,ニョロボン
rb,poliwrath,en,POLIWRATH
rb,poliwrath,fr,TARTARD
rb,poliwrath,it,POLIWRATH
rb,poliwrath,de,QUAPPO
rb,poliwrath,es,POLIWRATH
rb,abra,jp-kana,ケーシィ
rb,abra,en,ABRA
rb,abra,fr,ABRA
rb,abra,it,ABRA
rb,abra,de,ABRA
rb,abra,es,ABRA
rb,kadabra,jp-kana,ユンゲラー
rb,kadabra,en,KADABRA
rb,kadabra,fr,KADABRA
rb,kadabra,it,KADABRA
rb,kadabra,de,KADABRA
rb,kadabra,es,KADABRA
rb,alakazam,jp-kana,フーディン
rb,alakazam,en,ALAKAZAM
rb,alakazam,fr,ALAKAZAM
rb,alakazam,it,ALAKAZAM
rb,alakazam,de,SIMSALA
rb,alakazam,es,ALAKAZAM
rb,machop,jp-kana,ワンリキー
rb,machop,en,MACHOP
rb,machop,fr,MACHOC
rb,machop,it,MACHOP
rb,machop,de,MACHOLLO
rb,machop,es,MACHOP
rb,machoke,jp-kana,ゴーリキー
rb,machoke,en,MACHOKE
rb,machoke,fr,MACHOPEUR
rb,machoke,it,MACHOKE
rb,machoke,de,MASCHOCK
rb,machoke,es,MACHOKE
rb,machamp,jp-kana,カイリキー
rb,machamp,en,MACHAMP
rb,machamp,fr,MACKOGNEUR
rb,machamp,it,MACHAMP
rb,machamp,de,MACHOMEI
rb,machamp,es,MACHAMP
rb,bellsprout,jp-kana,マダツボミ
rb,bellsprout,en,BELLSPROUT
rb,bellsprout,fr,CHETIFLOR
rb,bellsprout,it,BELLSPROUT
rb,bellsprout,de,KNOFENSA
rb,bellsprout,es,BELLSPROUT
rb,weepinbell,jp-kana,ウツドン
rb,weepinbell,en,WEEPINBELL
rb,weepinbell,fr,BOUSTIFLOR
rb,weepinbell,it,WEEPINBELL
rb,weepinbell,de,ULTRIGARIA
rb,weepinbell,es,WEEPINBELL
rb,victreebel,jp-kana,ウツボット
rb,victreebel,en,VICTREEBEL
rb,victreebel,fr,EMPIFLOR
rb,victreebel,it,VICTREEBEL
rb,victreebel,de,SARZENIA
rb,victreebel,es,VICTREEBEL
rb,tentacool,jp-kana,メノクラゲ
rb,tentacool,en,TENTACOOL
rb,tentacool,fr,TENTACOOL
rb,tentacool,it,TENTACOOL
rb,tentacool,de,TENTACHA
rb,tentacool,es,TENTACOOL
rb,tentacruel,jp-kana,ドククラゲ
rb,tentacruel,en,TENTACRUEL
rb,tentacruel,fr,TENTACRUEL
rb,tentacruel,it,TENTACRUEL
rb,tentacruel,de,TENTOXA
rb,tentacruel,es,TENTACRUEL
rb,geodude,jp-kana,イシツブテ
rb,geodude,en,GEODUDE
rb,geodude,fr,RACAILLOU
rb,geodude,it,GEODUDE
rb,geodude,de,KLEINSTEIN
rb,geodude,es,GEODUDE
rb,graveler,jp-kana,ゴローン
rb,graveler,en,GRAVELER
rb,graveler,fr,GRAVALANCH
rb,graveler,it,GRAVELER
rb,graveler,de,GEOROK
rb,graveler,es,GRAVELER
rb,golem,jp-kana,ゴローニャ
rb,golem,en,GOLEM
rb,golem,fr,GROLEM
rb,golem,it,GOLEM
rb,golem,de,GEOWAZ
rb,golem,es,GOLEM
rb,ponyta,jp-kana,ポニータ
rb,ponyta,en,PONYTA
rb,ponyta,fr,PONYTA
rb,ponyta,it,PONYTA
rb,ponyta,de,PONITA
rb,ponyta,es,PONYTA
rb,rapidash,jp-kana,ギャロップ
rb,rapidash,en,RAPIDASH
rb,rapidash,fr,GALOPA
rb,rapidash,it,RAPIDASH
rb,rapidash,de,GALLOPA
rb,rapidash,es,RAPIDASH
rb,slowpoke,jp-kana,ヤドン
rb,slowpoke,en,SLOWPOKE
rb,slowpoke,fr,RAMOLOSS
rb,slowpoke,it,SLOWPOKE
rb,slowpoke,de,FLEGMON
rb,slowpoke,es,SLOWPOKE
rb,slowbro,jp-kana,ヤドラン
rb,slowbro,en,SLOWBRO
rb,slowbro,fr,FLAGADOSS
rb,slowbro,it,SLOWBRO
rb,slowbro,de,LAHMUS
rb,slowbro,es,SLOWBRO
rb,magnemite,jp-kana,コイル
rb,magnemite,en,MAGNEMITE
rb,magnemite,fr,MAGNETI
rb,magnemite,it,MAGNEMITE
rb,magnemite,de,MAGNETILO
rb,magnemite,es,MAGNEMITE
rb,magneton,jp-kana,レアコイル
rb,magneton,en,MAGNETON
rb,magneton,fr,MAGNETON
rb,magneton,it,MAGNETON
