game_group_identifier,pokemon_identifier,stat_identifier,base_value,ev_yield
rb,bulbasaur,hp,45,0
rb,bulbasaur,attack,49,0
rb,bulbasaur,defense,49,0
rb,bulbasaur,speed,45,0
rb,bulbasaur,special,65,0
rb,ivysaur,hp,60,0
rb,ivysaur,attack,62,0
rb,ivysaur,defense,63,0
rb,ivysaur,speed,60,0
rb,ivysaur,special,80,0
rb,venusaur,hp,80,0
rb,venusaur,attack,82,0
rb,venusaur,defense,83,0
rb,venusaur,speed,80,0
rb,venusaur,special,100,0
rb,charmander,hp,39,0
rb,charmander,attack,52,0
rb,charmander,defense,43,0
rb,charmander,speed,65,0
rb,charmander,special,50,0
rb,charmeleon,hp,58,0
rb,charmeleon,attack,64,0
rb,charmeleon,defense,58,0
rb,charmeleon,speed,80,0
rb,charmeleon,special,65,0
rb,charizard,hp,78,0
rb,charizard,attack,84,0
rb,charizard,defense,78,0
rb,charizard,speed,100,0
rb,charizard,special,85,0
rb,squirtle,hp,44,0
rb,squirtle,attack,48,0
rb,squirtle,defense,65,0
rb,squirtle,speed,43,0
rb,squirtle,special,50,0
rb,wartortle,hp,59,0
rb,wartortle,attack,63,0
rb,wartortle,defense,80,0
rb,wartortle,speed,58,0
rb,wartortle,special,65,0
rb,blastoise,hp,79,0
rb,blastoise,attack,83,0
rb,blastoise,defense,100,0
rb,blastoise,speed,78,0
rb,blastoise,special,85,0
rb,caterpie,hp,45,0
rb,caterpie,attack,30,0
rb,caterpie,defense,35,0
rb,caterpie,speed,45,0
rb,caterpie,special,20,0
rb,metapod,hp,50,0
rb,metapod,attack,20,0
rb,metapod,defense,55,0
rb,metapod,speed,30,0
rb,metapod,special,25,0
rb,butterfree,hp,60,0
rb,butterfree,attack,45,0
rb,butterfree,defense,50,0
rb,butterfree,speed,70,0
rb,butterfree,special,80,0
rb,weedle,hp,40,0
rb,weedle,attack,35,0
rb,weedle,defense,30,0
rb,weedle,speed,50,0
rb,weedle,special,20,0
rb,kakuna,hp,45,0
rb,kakuna,attack,25,0
rb,kakuna,defense,50,0
rb,kakuna,speed,35,0
rb,kakuna,special,25,0
rb,beedrill,hp,65,0
rb,beedrill,attack,80,0
rb,beedrill,defense,40,0
rb,beedrill,speed,75,0
rb,beedrill,special,45,0
rb,pidgey,hp,40,0
rb,pidgey,attack,45,0
rb,pidgey,defense,40,0
rb,pidgey,speed,56,0
rb,pidgey,special,35,0
rb,pidgeotto,hp,63,0
rb,pidgeotto,attack,60,0
rb,pidgeotto,defense,55,0
rb,pidgeotto,speed,71,0
rb,pidgeotto,special,50,0
rb,pidgeot,hp,83,0
rb,pidgeot,attack,80,0
rb,pidgeot,defense,75,0
rb,pidgeot,speed,91,0
rb,pidgeot,special,70,0
rb,rattata,hp,30,0
rb,rattata,attack,56,0
rb,rattata,defense,35,0
rb,rattata,speed,72,0
rb,rattata,special,25,0
rb,raticate,hp,55,0
rb,raticate,attack,81,0
rb,raticate,defense,60,0
rb,raticate,speed,97,0
rb,raticate,special,50,0
rb,spearow,hp,40,0
rb,spearow,attack,60,0
rb,spearow,defense,30,0
rb,spearow,speed,70,0
rb,spearow,special,31,0
rb,fearow,hp,65,0
rb,fearow,attack,90,0
rb,fearow,defense,65,0
rb,fearow,speed,100,0
rb,fearow,special,61,0
rb,ekans,hp,35,0
rb,ekans,attack,60,0
rb,ekans,defense,44,0
rb,ekans,speed,55,0
rb,ekans,special,40,0
rb,arbok,hp,60,0
rb,arbok,attack,85,0
rb,arbok,defense,69,0
rb,arbok,speed,80,0
rb,arbok,special,65,0
rb,pikachu,hp,35,0
rb,pikachu,attack,55,0
rb,pikachu,defense,30,0
rb,pikachu,speed,90,0
rb,pikachu,special,50,0
rb,raichu,hp,60,0
rb,raichu,attack,90,0
rb,raichu,defense,55,0
rb,raichu,speed,100,0
rb,raichu,special,90,0
rb,sandshrew,hp,50,0
rb,sandshrew,attack,75,0
rb,sandshrew,defense,85,0
rb,sandshrew,speed,40,0
rb,sandshrew,special,30,0
rb,sandslash,hp,75,0
rb,sandslash,attack,100,0
rb,sandslash,defense,110,0
rb,sandslash,speed,65,0
rb,sandslash,special,55,0
rb,nidoran-f,hp,55,0
rb,nidoran-f,attack,47,0
rb,nidoran-f,defense,52,0
rb,nidoran-f,speed,41,0
rb,nidoran-f,special,40,0
rb,nidorina,hp,70,0
rb,nidorina,attack,62,0
rb,nidorina,defense,67,0
rb,nidorina,speed,56,0
rb,nidorina,special,55,0
rb,nidoqueen,hp,90,0
rb,nidoqueen,attack,82,0
rb,nidoqueen,defense,87,0
rb,nidoqueen,speed,76,0
rb,nidoqueen,special,75,0
rb,nidoran-m,hp,46,0
rb,nidoran-m,attack,57,0
rb,nidoran-m,defense,40,0
rb,nidoran-m,speed,50,0
rb,nidoran-m,special,40,0
rb,nidorino,hp,61,0
rb,nidorino,attack,72,0
rb,nidorino,defense,57,0
rb,nidorino,speed,65,0
rb,nidorino,special,55,0
rb,nidoking,hp,81,0
rb,nidoking,attack,92,0
rb,nidoking,defense,77,0
