game_group_identifier,pokemon_identifier,slot,type_identifier
rb,bulbasaur,1,grass
rb,bulbasaur,2,poison
rb,ivysaur,1,grass
rb,ivysaur,2,poison
rb,venusaur,1,grass
rb,venusaur,2,poison
rb,charmander,1,fire
rb,charmeleon,1,fire
rb,charizard,1,fire
rb,charizard,2,flying
rb,squirtle,1,water
rb,wartortle,1,water
rb,blastoise,1,water
rb,caterpie,1,bug
rb,metapod,1,bug
rb,butterfree,1,bug
rb,butterfree,2,flying
rb,weedle,1,bug
rb,weedle,2,poison
rb,kakuna,1,bug
rb,kakuna,2,poison
rb,beedrill,1,bug
rb,beedrill,2,poison
rb,pidgey,1,normal
rb,pidgey,2,flying
rb,pidgeotto,1,normal
rb,pidgeotto,2,flying
rb,pidgeot,1,normal
rb,pidgeot,2,flying
rb,rattata,1,normal
rb,raticate,1,normal
rb,spearow,1,normal
rb,spearow,2,flying
rb,fearow,1,normal
rb,fearow,2,flying
rb,ekans,1,poison
rb,arbok,1,poison
rb,pikachu,1,electric
rb,raichu,1,electric
rb,sandshrew,1,ground
rb,sandslash,1,ground
rb,nidoran-f,1,poison
rb,nidorina,1,poison
rb,nidoqueen,1,poison
rb,nidoqueen,2,ground
rb,nidoran-m,1,poison
rb,nidorino,1,poison
rb,nidoking,1,poison
rb,nidoking,2,ground
rb,clefairy,1,normal
rb,clefable,1,normal
rb,vulpix,1,fire
rb,ninetales,1,fire
rb,jigglypuff,1,normal
rb,wigglytuff,1,normal
rb,zubat,1,poison
rb,zubat,2,flying
rb,golbat,1,poison
rb,golbat,2,flying
rb,oddish,1,grass
rb,oddish,2,poison
rb,gloom,1,grass
rb,gloom,2,poison
rb,vileplume,1,grass
rb,vileplume,2,poison
rb,paras,1,bug
rb,paras,2,grass
rb,parasect,1,bug
rb,parasect,2,grass
rb,venonat,1,bug
rb,venonat,2,poison
rb,venomoth,1,bug
rb,venomoth,2,poison
rb,diglett,1,ground
rb,dugtrio,1,ground
rb,meowth,1,normal
rb,persian,1,normal
rb,psyduck,1,water
rb,golduck,1,water
rb,mankey,1,fighting
rb,primeape,1,fighting
rb,growlithe,1,fire
rb,arcanine,1,fire
rb,poliwag,1,water
rb,poliwhirl,1,water
rb,poliwrath,1,water
rb,poliwrath,2,fighting
rb,abra,1,psychic
rb,kadabra,1,psychic
rb,alakazam,1,psychic
rb,machop,1,fighting
rb,machoke,1,fighting
rb,machamp,1,fighting
rb,bellsprout,1,grass
rb,bellsprout,2,poison
