game_group_identifier,pokemon_identifier,slot_identifier,item_identifier
rb,bulbasaur,common,bitter-berry
rb,bulbasaur,rare,bitter-berry
rb,ivysaur,common,bitter-berry
rb,ivysaur,rare,bitter-berry
rb,venusaur,common,bitter-berry
rb,venusaur,rare,bitter-berry
rb,charmander,common,bitter-berry
rb,charmander,rare,bitter-berry
rb,charmeleon,common,bitter-berry
rb,charmeleon,rare,bitter-berry
rb,charizard,common,bitter-berry
rb,charizard,rare,bitter-berry
rb,squirtle,common,bitter-berry
rb,squirtle,rare,bitter-berry
rb,wartortle,common,bitter-berry
rb,wartortle,rare,bitter-berry
rb,blastoise,common,bitter-berry
rb,blastoise,rare,bitter-berry
rb,caterpie,common,berry
rb,caterpie,rare,berry
rb,metapod,common,berry
rb,metapod,rare,berry
rb,butterfree,common,bitter-berry
rb,butterfree,rare,bitter-berry
rb,weedle,common,berry
rb,weedle,rare,berry
rb,kakuna,common,berry
rb,kakuna,rare,berry
rb,beedrill,common,bitter-berry
rb,beedrill,rare,bitter-berry
rb,pidgey,common,berry
rb,pidgey,rare,berry
rb,pidgeotto,common,berry
rb,pidgeotto,rare,berry
rb,pidgeot,common,bitter-berry
rb,pidgeot,rare,bitter-berry
rb,rattata,common,berry
rb,rattata,rare,berry
rb,raticate,common,berry
rb,raticate,rare,berry
rb,spearow,common,berry
rb,spearow,rare,berry
rb,fearow,common,berry
rb,fearow,rare,berry
rb,ekans,common,berry
rb,ekans,rare,berry
rb,arbok,common,berry
rb,arbok,rare,berry
rb,pikachu,common,berry
rb,pikachu,rare,berry
rb,raichu,common,gold-leaf
rb,raichu,rare,gold-leaf
rb,sandshrew,common,berry
rb,sandshrew,rare,berry
rb,sandslash,common,berry
rb,sandslash,rare,berry
rb,nidoran-f,common,tm043
rb,nidoran-f,rare,tm043
rb,nidorina,common,berry
rb,nidorina,rare,berry
rb,nidoqueen,common,bitter-berry
rb,nidoqueen,rare,bitter-berry
rb,nidoran-m,common,tm043
rb,nidoran-m,rare,tm043
rb,nidorino,common,berry
rb,nidorino,rare,berry
rb,nidoking,common,bitter-berry
rb,nidoking,rare,bitter-berry
rb,clefairy,common,mysteryberry
rb,clefairy,rare,mysteryberry
rb,clefable,common,leftovers
rb,clefable,rare,leftovers
rb,vulpix,common,berry
rb,vulpix,rare,berry
rb,ninetales,common,gold-leaf
rb,ninetales,rare,gold-leaf
rb,jigglypuff,common,polkadot-bow
rb,jigglypuff,rare,polkadot-bow
rb,wigglytuff,common,gold-berry
rb,wigglytuff,rare,gold-berry
rb,zubat,common,berry
rb,zubat,rare,berry
rb,golbat,common,berry
rb,golbat,rare,berry
rb,oddish,common,berry
rb,oddish,rare,berry
rb,gloom,common,berry
rb,gloom,rare,berry
rb,vileplume,common,bitter-berry
