move_identifier,language,name
10-000-000-volt-thunderbolt,jp-kana,１０００まんボルト
10-000-000-volt-thunderbolt,jp-kanji,１０００まんボルト
10-000-000-volt-thunderbolt,en,"10,000,000 Volt Thunderbolt"
10-000-000-volt-thunderbolt,fr,Giga-Tonnerre
10-000-000-volt-thunderbolt,it,Iperfulmine
10-000-000-volt-thunderbolt,de,Tausendfacher Donnerblitz
10-000-000-volt-thunderbolt,es,Gigarrayo Fulminante
10-000-000-volt-thunderbolt,ko,1000만볼트
10-000-000-volt-thunderbolt,zh-simp,千万伏特
10-000-000-volt-thunderbolt,zh-trad,千萬伏特
absorb,jp-kana,すいとる
absorb,jp-kanji,すいとる
absorb,en,Absorb
absorb,fr,Vole-Vie
absorb,it,Assorbimento
absorb,de,Absorber
absorb,es,Absorber
absorb,ko,흡수
absorb,zh-simp,吸取
absorb,zh-trad,吸取
accelerock,jp-kana,アクセルロック
accelerock,jp-kanji,アクセルロック
accelerock,en,Accelerock
accelerock,fr,Vif Roc
accelerock,it,Rocciarapida
accelerock,de,Turbofelsen
accelerock,es,Roca Veloz
accelerock,ko,액셀록
accelerock,zh-simp,冲岩
accelerock,zh-trad,衝岩
acid,jp-kana,ようかいえき
acid,jp-kanji,ようかいえき
acid,en,Acid
acid,fr,Acide
acid,it,Acido
acid,de,Säure
acid,es,Ácido
acid,ko,용해액
acid,zh-simp,溶解液
acid,zh-trad,溶解液
acid-armor,jp-kana,とける
acid-armor,jp-kanji,とける
acid-armor,en,Acid Armor
acid-armor,fr,Acidarmure
acid-armor,it,Scudo Acido
acid-armor,de,Säurepanzer
acid-armor,es,Armadura Ácida
acid-armor,ko,녹기
acid-armor,zh-simp,溶化
acid-armor,zh-trad,溶化
acid-downpour--physical,jp-kana,アシッドポイズンデリート
acid-downpour--physical,jp-kanji,アシッドポイズンデリート
acid-downpour--physical,en,Acid Downpour
acid-downpour--physical,fr,Déluge Causti-Toxique
acid-downpour--physical,it,Acidiluvio Corrosivo
acid-downpour--physical,de,Vernichtender Säureregen
acid-downpour--physical,es,Diluvio Corrosivo
acid-downpour--physical,ko,애시드포이즌딜리트
acid-downpour--physical,zh-simp,强酸剧毒灭绝雨
acid-downpour--physical,zh-trad,強酸劇毒滅絕雨
acid-downpour--special,jp-kana,アシッドポイズンデリート
acid-downpour--special,jp-kanji,アシッドポイズンデリート
acid-downpour--special,en,Acid Downpour
acid-downpour--special,fr,Déluge Causti-Toxique
acid-downpour--special,it,Acidiluvio Corrosivo
acid-downpour--special,de,Vernichtender Säureregen
acid-downpour--special,es,Diluvio Corrosivo
acid-downpour--special,ko,애시드포이즌딜리트
acid-downpour--special,zh-simp,强酸剧毒灭绝雨
acid-downpour--special,zh-trad,強酸劇毒滅絕雨
acid-spray,jp-kana,アシッドボム
acid-spray,jp-kanji,アシッドボム
acid-spray,en,Acid Spray
acid-spray,fr,Bombe Acide
acid-spray,it,Acidobomba
acid-spray,de,Säurespeier
acid-spray,es,Bomba Ácida
acid-spray,ko,애시드봄
acid-spray,zh-simp,酸液炸弹
acid-spray,zh-trad,酸液炸彈
acrobatics,jp-kana,アクロバット
acrobatics,jp-kanji,アクロバット
acrobatics,en,Acrobatics
acrobatics,fr,Acrobatie
acrobatics,it,Acrobazia
acrobatics,de,Akrobatik
acrobatics,es,Acróbata
acrobatics,ko,애크러뱃
acrobatics,zh-simp,杂技
acrobatics,zh-trad,雜技
acupressure,jp-kana,つぼをつく
acupressure,jp-kanji,つぼをつく
acupressure,en,Acupressure
acupressure,fr,Acupression
acupressure,it,Acupressione
acupressure,de,Akupressur
acupressure,es,Acupresión
acupressure,ko,경혈찌르기
acupressure,zh-simp,点穴
acupressure,zh-trad,點穴
aerial-ace,jp-kana,つばめがえし
aerial-ace,jp-kanji,つばめがえし
aerial-ace,en,Aerial Ace
aerial-ace,fr,Aéropique
aerial-ace,it,Aeroassalto
aerial-ace,de,Aero-Ass
aerial-ace,es,Golpe Aéreo
aerial-ace,ko,제비반환
aerial-ace,zh-simp,燕返
aerial-ace,zh-trad,燕返
aeroblast,jp-kana,エアロブラスト
aeroblast,jp-kanji,エアロブラスト
aeroblast,en,Aeroblast
aeroblast,fr,Aéroblast
aeroblast,it,Aerocolpo
aeroblast,de,Luftstoß
aeroblast,es,Aerochorro
aeroblast,ko,에어로블라스트
aeroblast,zh-simp,气旋攻击
aeroblast,zh-trad,氣旋攻擊
after-you,jp-kana,おさきにどうぞ
after-you,jp-kanji,おさきにどうぞ
after-you,en,After You
after-you,fr,Après Vous
after-you,it,Cortesia
after-you,de,Galanterie
after-you,es,Cede Paso
after-you,ko,당신먼저
after-you,zh-simp,您先请
after-you,zh-trad,您先請
agility,jp-kana,こうそくいどう
agility,jp-kanji,こうそくいどう
agility,en,Agility
agility,fr,Hâte
agility,it,Agilità
agility,de,Agilität
agility,es,Agilidad
agility,ko,고속이동
agility,zh-simp,高速移动
agility,zh-trad,高速移動
air-cutter,jp-kana,エアカッター
air-cutter,jp-kanji,エアカッター
air-cutter,en,Air Cutter
air-cutter,fr,Tranch’Air
air-cutter,it,Aerasoio
air-cutter,de,Windschnitt
air-cutter,es,Aire Afilado
air-cutter,ko,에어커터
air-cutter,zh-simp,空气利刃
air-cutter,zh-trad,空氣利刃
air-slash,jp-kana,エアスラッシュ
air-slash,jp-kanji,エアスラッシュ
air-slash,en,Air Slash
air-slash,fr,Lame d’Air
air-slash,it,Eterelama
air-slash,de,Luftschnitt
air-slash,es,Tajo Aéreo
air-slash,ko,에어슬래시
air-slash,zh-simp,空气之刃
air-slash,zh-trad,空氣斬
all-out-pummeling--physical,jp-kana,ぜんりょくむそうげきれつけん
all-out-pummeling--physical,jp-kanji,ぜんりょくむそうげきれつけん
all-out-pummeling--physical,en,All-Out Pummeling
all-out-pummeling--physical,fr,Combo Hyper-Furie
all-out-pummeling--physical,it,Iperscarica Furiosa
all-out-pummeling--physical,de,Fulminante Faustschläge
all-out-pummeling--physical,es,Ráfaga Demoledora
all-out-pummeling--physical,ko,전력무쌍격렬권
all-out-pummeling--physical,zh-simp,全力无双激烈拳
all-out-pummeling--physical,zh-trad,全力無雙激烈拳
all-out-pummeling--special,jp-kana,ぜんりょくむそうげきれつけん
all-out-pummeling--special,jp-kanji,ぜんりょくむそうげきれつけん
all-out-pummeling--special,en,All-Out Pummeling
all-out-pummeling--special,fr,Combo Hyper-Furie
all-out-pummeling--special,it,Iperscarica Furiosa
all-out-pummeling--special,de,Fulminante Faustschläge
all-out-pummeling--special,es,Ráfaga Demoledora
all-out-pummeling--special,ko,전력무쌍격렬권
all-out-pummeling--special,zh-simp,全力无双激烈拳
all-out-pummeling--special,zh-trad,全力無雙激烈拳
alluring-voice,jp-kana,みわくのボイス
alluring-voice,jp-kanji,みわくのボイス
alluring-voice,en,Alluring Voice
alluring-voice,fr,Voix Envoûtante
alluring-voice,it,Ammaliavoce
alluring-voice,de,Lockstimme
alluring-voice,es,Canto Encantador
alluring-voice,ko,매혹의보이스
alluring-voice,zh-simp,魅诱之声
alluring-voice,zh-trad,魅誘之聲
ally-switch,jp-kana,サイドチェンジ
ally-switch,jp-kanji,サイドチェンジ
ally-switch,en,Ally Switch
ally-switch,fr,Interversion
ally-switch,it,Cambiaposto
ally-switch,de,Seitentausch
ally-switch,es,Cambio de Banda
ally-switch,ko,사이드체인지
ally-switch,zh-simp,交换场地
ally-switch,zh-trad,交換場地
amnesia,jp-kana,ドわすれ
amnesia,jp-kanji,ドわすれ
amnesia,en,Amnesia
amnesia,fr,Amnésie
amnesia,it,Amnesia
amnesia,de,Amnesie
amnesia,es,Amnesia
amnesia,ko,망각술
amnesia,zh-simp,瞬间失忆
amnesia,zh-trad,瞬間失憶
anchor-shot,jp-kana,アンカーショット
anchor-shot,jp-kanji,アンカーショット
anchor-shot,en,Anchor Shot
anchor-shot,fr,Ancrage
anchor-shot,it,Colpo d’Ancora
anchor-shot,de,Ankerschuss
anchor-shot,es,Anclaje
anchor-shot,ko,앵커샷
anchor-shot,zh-simp,掷锚
anchor-shot,zh-trad,擲錨
ancient-power,jp-kana,げんしのちから
ancient-power,jp-kanji,げんしのちから
ancient-power,en,Ancient Power
ancient-power,fr,Pouvoir Antique
ancient-power,it,Forzantica
ancient-power,de,Antik-Kraft
ancient-power,es,Poder Pasado
ancient-power,ko,원시의힘
ancient-power,zh-simp,原始之力
ancient-power,zh-trad,原始之力
apple-acid,jp-kana,りんごさん
apple-acid,jp-kanji,りんごさん
apple-acid,en,Apple Acid
apple-acid,fr,Acide Malique
apple-acid,it,Acido Malico
apple-acid,de,Apfelsäure
apple-acid,es,Ácido Málico
apple-acid,ko,사과산
apple-acid,zh-simp,苹果酸
apple-acid,zh-trad,蘋果酸
aqua-cutter,jp-kana,アクアカッター
aqua-cutter,jp-kanji,アクアカッター
aqua-cutter,en,Aqua Cutter
aqua-cutter,fr,Tranch’Aqua
aqua-cutter,it,Idrotaglio
aqua-cutter,de,Aquaschnitt
aqua-cutter,es,Tajo Acuático
aqua-cutter,ko,아쿠아커터
aqua-cutter,zh-simp,水波刀
aqua-cutter,zh-trad,水波刀
aqua-jet,jp-kana,アクアジェット
aqua-jet,jp-kanji,アクアジェット
aqua-jet,en,Aqua Jet
aqua-jet,fr,Aqua-Jet
aqua-jet,it,Acquagetto
aqua-jet,de,Wasserdüse
aqua-jet,es,Acua Jet
aqua-jet,ko,아쿠아제트
aqua-jet,zh-simp,水流喷射
aqua-jet,zh-trad,水流噴射
aqua-ring,jp-kana,アクアリング
aqua-ring,jp-kanji,アクアリング
aqua-ring,en,Aqua Ring
aqua-ring,fr,Anneau Hydro
aqua-ring,it,Acquanello
aqua-ring,de,Wasserring
aqua-ring,es,Acua Aro
aqua-ring,ko,아쿠아링
aqua-ring,zh-simp,水流环
aqua-ring,zh-trad,水流環
aqua-step,jp-kana,アクアステップ
aqua-step,jp-kanji,アクアステップ
aqua-step,en,Aqua Step
aqua-step,fr,Danse Aquatique
aqua-step,it,Idroballetto
aqua-step,de,Wogentanz
aqua-step,es,Danza Acuática
aqua-step,ko,아쿠아스텝
aqua-step,zh-simp,流水旋舞
aqua-step,zh-trad,流水旋舞
aqua-tail,jp-kana,アクアテール
aqua-tail,jp-kanji,アクアテール
aqua-tail,en,Aqua Tail
aqua-tail,fr,Hydro-Queue
aqua-tail,it,Idrondata
aqua-tail,de,Nassschweif
aqua-tail,es,Acua Cola
aqua-tail,ko,아쿠아테일
aqua-tail,zh-simp,水流尾
aqua-tail,zh-trad,水流尾
arm-thrust,jp-kana,つっぱり
arm-thrust,jp-kanji,つっぱり
arm-thrust,en,Arm Thrust
arm-thrust,fr,Cogne
arm-thrust,it,Sberletese
arm-thrust,de,Armstoß
arm-thrust,es,Empujón
arm-thrust,ko,손바닥치기
arm-thrust,zh-simp,猛推
arm-thrust,zh-trad,猛推
armor-cannon,jp-kana,アーマーキャノン
armor-cannon,jp-kanji,アーマーキャノン
armor-cannon,en,Armor Cannon
armor-cannon,fr,Canon Blindé
armor-cannon,it,Corazza Cannone
armor-cannon,de,Rüstungskanone
armor-cannon,es,Cañón Armadura
armor-cannon,ko,아머캐논
armor-cannon,zh-simp,铠农炮
armor-cannon,zh-trad,鎧農炮
aromatherapy,jp-kana,アロマセラピー
aromatherapy,jp-kanji,アロマセラピー
aromatherapy,en,Aromatherapy
aromatherapy,fr,Aromathérapie
aromatherapy,it,Aromaterapia
aromatherapy,de,Aromakur
aromatherapy,es,Aromaterapia
aromatherapy,ko,아로마테라피
aromatherapy,zh-simp,芳香治疗
aromatherapy,zh-trad,芳香治療
aromatic-mist,jp-kana,アロマミスト
aromatic-mist,jp-kanji,アロマミスト
aromatic-mist,en,Aromatic Mist
aromatic-mist,fr,Brume Capiteuse
aromatic-mist,it,Nebularoma
aromatic-mist,de,Duftwolke
aromatic-mist,es,Niebla Aromática
aromatic-mist,ko,아로마미스트
aromatic-mist,zh-simp,芳香薄雾
aromatic-mist,zh-trad,芳香薄霧
assist,jp-kana,ねこのて
assist,jp-kanji,ねこのて
assist,en,Assist
assist,fr,Assistance
assist,it,Assistente
assist,de,Zuschuss
assist,es,Ayuda
assist,ko,조수
assist,zh-simp,借助
assist,zh-trad,借助
assurance,jp-kana,ダメおし
assurance,jp-kanji,ダメおし
assurance,en,Assurance
assurance,fr,Assurance
assurance,it,Garanzia
assurance,de,Gewissheit
assurance,es,Buena Baza
assurance,ko,승부굳히기
assurance,zh-simp,恶意追击
assurance,zh-trad,惡意追擊
astonish,jp-kana,おどろかす
astonish,jp-kanji,おどろかす
astonish,en,Astonish
astonish,fr,Étonnement
astonish,it,Sgomento
astonish,de,Erstauner
astonish,es,Impresionar
astonish,ko,놀래키기
astonish,zh-simp,惊吓
astonish,zh-trad,驚嚇
astral-barrage,jp-kana,アストラルビット
astral-barrage,jp-kanji,アストラルビット
astral-barrage,en,Astral Barrage
astral-barrage,fr,Éclat Spectral
astral-barrage,it,Schegge Astrali
astral-barrage,de,Astralfragmente
astral-barrage,es,Orbes Espectro
astral-barrage,ko,아스트랄비트
astral-barrage,zh-simp,星碎
astral-barrage,zh-trad,星碎
attack-order,jp-kana,こうげきしれい
attack-order,jp-kanji,こうげきしれい
attack-order,en,Attack Order
attack-order,fr,Appel Attaque
attack-order,it,Comandourto
attack-order,de,Schlagbefehl
attack-order,es,Al Ataque
attack-order,ko,공격지령
attack-order,zh-simp,攻击指令
attack-order,zh-trad,攻擊指令
attract,jp-kana,メロメロ
attract,jp-kanji,メロメロ
attract,en,Attract
attract,fr,Attraction
attract,it,Attrazione
attract,de,Anziehung
attract,es,Atracción
attract,ko,헤롱헤롱
attract,zh-simp,迷人
attract,zh-trad,迷人
aura-sphere,jp-kana,はどうだん
aura-sphere,jp-kanji,はどうだん
aura-sphere,en,Aura Sphere
aura-sphere,fr,Aurasphère
aura-sphere,it,Sferapulsar
aura-sphere,de,Aurasphäre
aura-sphere,es,Esfera Aural
aura-sphere,ko,파동탄
aura-sphere,zh-simp,波导弹
aura-sphere,zh-trad,波導彈
aura-wheel,jp-kana,オーラぐるま
aura-wheel,jp-kanji,オーラぐるま
aura-wheel,en,Aura Wheel
aura-wheel,fr,Roue Libre
aura-wheel,it,Ruota d’Aura
aura-wheel,de,Aura-Rad
aura-wheel,es,Rueda Aural
aura-wheel,ko,오라휠
