pokemon_species_identifier,language,name
bulbasaur,jp-kana,フシギダネ
bulbasaur,jp-kanji,フシギダネ
bulbasaur,en,Bulbasaur
bulbasaur,fr,Bulbizarre
bulbasaur,it,Bulbasaur
bulbasaur,de,Bisasam
bulbasaur,es,Bulbasaur
bulbasaur,ko,이상해씨
bulbasaur,zh-simp,妙蛙种子
bulbasaur,zh-trad,妙蛙種子
ivysaur,jp-kana,フシギソウ
ivysaur,jp-kanji,フシギソウ
ivysaur,en,Ivysaur
ivysaur,fr,Herbizarre
ivysaur,it,Ivysaur
ivysaur,de,Bisaknosp
ivysaur,es,Ivysaur
ivysaur,ko,이상해풀
ivysaur,zh-simp,妙蛙草
ivysaur,zh-trad,妙蛙草
venusaur,jp-kana,フシギバナ
venusaur,jp-kanji,フシギバナ
venusaur,en,Venusaur
venusaur,fr,Florizarre
venusaur,it,Venusaur
venusaur,de,Bisaflor
venusaur,es,Venusaur
venusaur,ko,이상해꽃
venusaur,zh-simp,妙蛙花
venusaur,zh-trad,妙蛙花
charmander,jp-kana,ヒトカゲ
charmander,jp-kanji,ヒトカゲ
charmander,en,Charmander
charmander,fr,Salamèche
charmander,it,Charmander
charmander,de,Glumanda
charmander,es,Charmander
charmander,ko,파이리
charmander,zh-simp,小火龙
charmander,zh-trad,小火龍
charmeleon,jp-kana,リザード
charmeleon,jp-kanji,リザード
charmeleon,en,Charmeleon
charmeleon,fr,Reptincel
charmeleon,it,Charmeleon
charmeleon,de,Glutexo
charmeleon,es,Charmeleon
charmeleon,ko,리자드
charmeleon,zh-simp,火恐龙
charmeleon,zh-trad,火恐龍
charizard,jp-kana,リザードン
charizard,jp-kanji,リザードン
charizard,en,Charizard
charizard,fr,Dracaufeu
charizard,it,Charizard
charizard,de,Glurak
charizard,es,Charizard
charizard,ko,리자몽
charizard,zh-simp,喷火龙
charizard,zh-trad,噴火龍
squirtle,jp-kana,ゼニガメ
squirtle,jp-kanji,ゼニガメ
squirtle,en,Squirtle
squirtle,fr,Carapuce
squirtle,it,Squirtle
squirtle,de,Schiggy
squirtle,es,Squirtle
squirtle,ko,꼬부기
squirtle,zh-simp,杰尼龟
squirtle,zh-trad,傑尼龜
wartortle,jp-kana,カメール
wartortle,jp-kanji,カメール
wartortle,en,Wartortle
wartortle,fr,Carabaffe
wartortle,it,Wartortle
wartortle,de,Schillok
wartortle,es,Wartortle
wartortle,ko,어니부기
wartortle,zh-simp,卡咪龟
wartortle,zh-trad,卡咪龜
blastoise,jp-kana,カメックス
blastoise,jp-kanji,カメックス
blastoise,en,Blastoise
blastoise,fr,Tortank
blastoise,it,Blastoise
blastoise,de,Turtok
blastoise,es,Blastoise
blastoise,ko,거북왕
blastoise,zh-simp,水箭龟
blastoise,zh-trad,水箭龜
caterpie,jp-kana,キャタピー
caterpie,jp-kanji,キャタピー
caterpie,en,Caterpie
caterpie,fr,Chenipan
caterpie,it,Caterpie
caterpie,de,Raupy
caterpie,es,Caterpie
caterpie,ko,캐터피
caterpie,zh-simp,绿毛虫
caterpie,zh-trad,綠毛蟲
metapod,jp-kana,トランセル
metapod,jp-kanji,トランセル
metapod,en,Metapod
metapod,fr,Chrysacier
metapod,it,Metapod
metapod,de,Safcon
metapod,es,Metapod
metapod,ko,단데기
metapod,zh-simp,铁甲蛹
metapod,zh-trad,鐵甲蛹
butterfree,jp-kana,バタフリー
butterfree,jp-kanji,バタフリー
butterfree,en,Butterfree
butterfree,fr,Papilusion
butterfree,it,Butterfree
butterfree,de,Smettbo
butterfree,es,Butterfree
butterfree,ko,버터플
butterfree,zh-simp,巴大蝶
butterfree,zh-trad,巴大蝶
weedle,jp-kana,ビードル
weedle,jp-kanji,ビードル
weedle,en,Weedle
weedle,fr,Aspicot
weedle,it,Weedle
weedle,de,Hornliu
weedle,es,Weedle
weedle,ko,뿔충이
weedle,zh-simp,独角虫
weedle,zh-trad,獨角蟲
kakuna,jp-kana,コクーン
kakuna,jp-kanji,コクーン
kakuna,en,Kakuna
kakuna,fr,Coconfort
kakuna,it,Kakuna
kakuna,de,Kokuna
kakuna,es,Kakuna
kakuna,ko,딱충이
kakuna,zh-simp,铁壳蛹
kakuna,zh-trad,鐵殼蛹
beedrill,jp-kana,スピアー
beedrill,jp-kanji,スピアー
beedrill,en,Beedrill
beedrill,fr,Dardargnan
beedrill,it,Beedrill
beedrill,de,Bibor
beedrill,es,Beedrill
beedrill,ko,독침붕
beedrill,zh-simp,大针蜂
beedrill,zh-trad,大針蜂
pidgey,jp-kana,ポッポ
pidgey,jp-kanji,ポッポ
pidgey,en,Pidgey
pidgey,fr,Roucool
pidgey,it,Pidgey
pidgey,de,Taubsi
pidgey,es,Pidgey
pidgey,ko,구구
pidgey,zh-simp,波波
pidgey,zh-trad,波波
pidgeotto,jp-kana,ピジョン
pidgeotto,jp-kanji,ピジョン
pidgeotto,en,Pidgeotto
pidgeotto,fr,Roucoups
pidgeotto,it,Pidgeotto
pidgeotto,de,Tauboga
pidgeotto,es,Pidgeotto
pidgeotto,ko,피죤
pidgeotto,zh-simp,比比鸟
pidgeotto,zh-trad,比比鳥
pidgeot,jp-kana,ピジョット
pidgeot,jp-kanji,ピジョット
pidgeot,en,Pidgeot
pidgeot,fr,Roucarnage
pidgeot,it,Pidgeot
pidgeot,de,Tauboss
pidgeot,es,Pidgeot
pidgeot,ko,피죤투
pidgeot,zh-simp,大比鸟
pidgeot,zh-trad,大比鳥
rattata,jp-kana,コラッタ
rattata,jp-kanji,コラッタ
rattata,en,Rattata
rattata,fr,Rattata
rattata,it,Rattata
rattata,de,Rattfratz
rattata,es,Rattata
rattata,ko,꼬렛
rattata,zh-simp,小拉达
rattata,zh-trad,小拉達
raticate,jp-kana,ラッタ
raticate,jp-kanji,ラッタ
raticate,en,Raticate
raticate,fr,Rattatac
raticate,it,Raticate
raticate,de,Rattikarl
raticate,es,Raticate
raticate,ko,레트라
raticate,zh-simp,拉达
raticate,zh-trad,拉達
spearow,jp-kana,オニスズメ
spearow,jp-kanji,オニスズメ
spearow,en,Spearow
spearow,fr,Piafabec
spearow,it,Spearow
spearow,de,Habitak
spearow,es,Spearow
spearow,ko,깨비참
spearow,zh-simp,烈雀
spearow,zh-trad,烈雀
fearow,jp-kana,オニドリル
fearow,jp-kanji,オニドリル
fearow,en,Fearow
fearow,fr,Rapasdepic
fearow,it,Fearow
fearow,de,Ibitak
fearow,es,Fearow
fearow,ko,깨비드릴조
fearow,zh-simp,大嘴雀
fearow,zh-trad,大嘴雀
ekans,jp-kana,アーボ
ekans,jp-kanji,アーボ
ekans,en,Ekans
ekans,fr,Abo
ekans,it,Ekans
ekans,de,Rettan
ekans,es,Ekans
ekans,ko,아보
ekans,zh-simp,阿柏蛇
ekans,zh-trad,阿柏蛇
arbok,jp-kana,アーボック
arbok,jp-kanji,アーボック
arbok,en,Arbok
arbok,fr,Arbok
arbok,it,Arbok
arbok,de,Arbok
