pokemon_identifier,stat_identifier,value
bulbasaur,hp,45
bulbasaur,attack,49
bulbasaur,defense,49
bulbasaur,sp-atk,65
bulbasaur,sp-def,65
bulbasaur,speed,45
ivysaur,hp,60
ivysaur,attack,62
ivysaur,defense,63
ivysaur,sp-atk,80
ivysaur,sp-def,80
ivysaur,speed,60
venusaur,hp,80
venusaur,attack,82
venusaur,defense,83
venusaur,sp-atk,100
venusaur,sp-def,100
venusaur,speed,80
venusaur-mega,hp,80
venusaur-mega,attack,100
venusaur-mega,defense,123
venusaur-mega,sp-atk,122
venusaur-mega,sp-def,120
venusaur-mega,speed,80
charmander,hp,39
charmander,attack,52
charmander,defense,43
charmander,sp-atk,60
charmander,sp-def,50
charmander,speed,65
charmeleon,hp,58
charmeleon,attack,64
charmeleon,defense,58
charmeleon,sp-atk,80
charmeleon,sp-def,65
charmeleon,speed,80
charizard,hp,78
charizard,attack,84
charizard,defense,78
charizard,sp-atk,109
charizard,sp-def,85
charizard,speed,100
charizard-mega-x,hp,78
charizard-mega-x,attack,130
charizard-mega-x,defense,111
charizard-mega-x,sp-atk,130
charizard-mega-x,sp-def,85
charizard-mega-x,speed,100
charizard-mega-y,hp,78
charizard-mega-y,attack,104
charizard-mega-y,defense,78
charizard-mega-y,sp-atk,159
charizard-mega-y,sp-def,115
charizard-mega-y,speed,100
squirtle,hp,44
squirtle,attack,48
squirtle,defense,65
squirtle,sp-atk,50
squirtle,sp-def,64
squirtle,speed,43
wartortle,hp,59
wartortle,attack,63
wartortle,defense,80
wartortle,sp-atk,65
wartortle,sp-def,80
wartortle,speed,58
blastoise,hp,79
blastoise,attack,83
blastoise,defense,100
blastoise,sp-atk,85
blastoise,sp-def,105
blastoise,speed,78
blastoise-mega,hp,79
blastoise-mega,attack,103
blastoise-mega,defense,120
blastoise-mega,sp-atk,135
blastoise-mega,sp-def,115
blastoise-mega,speed,78
caterpie,hp,45
caterpie,attack,30
caterpie,defense,35
caterpie,sp-atk,20
caterpie,sp-def,20
caterpie,speed,45
metapod,hp,50
metapod,attack,20
metapod,defense,55
metapod,sp-atk,25
metapod,sp-def,25
metapod,speed,30
butterfree,hp,60
butterfree,attack,45
butterfree,defense,50
butterfree,sp-atk,90
butterfree,sp-def,80
butterfree,speed,70
weedle,hp,40
weedle,attack,35
weedle,defense,30
weedle,sp-atk,20
weedle,sp-def,20
weedle,speed,50
kakuna,hp,45
kakuna,attack,25
kakuna,defense,50
kakuna,sp-atk,25
kakuna,sp-def,25
kakuna,speed,35
beedrill,hp,65
beedrill,attack,90
beedrill,defense,40
beedrill,sp-atk,45
beedrill,sp-def,80
beedrill,speed,75
beedrill-mega,hp,65
beedrill-mega,attack,150
beedrill-mega,defense,40
beedrill-mega,sp-atk,15
beedrill-mega,sp-def,80
beedrill-mega,speed,145
pidgey,hp,40
pidgey,attack,45
pidgey,defense,40
pidgey,sp-atk,35
pidgey,sp-def,35
pidgey,speed,56
pidgeotto,hp,63
pidgeotto,attack,60
pidgeotto,defense,55
pidgeotto,sp-atk,50
pidgeotto,sp-def,50
pidgeotto,speed,71
pidgeot,hp,83
pidgeot,attack,80
pidgeot,defense,75
pidgeot,sp-atk,70
pidgeot,sp-def,70
pidgeot,speed,101
pidgeot-mega,hp,83
pidgeot-mega,attack,80
pidgeot-mega,defense,80
pidgeot-mega,sp-atk,135
pidgeot-mega,sp-def,80
pidgeot-mega,speed,121
rattata,hp,30
rattata,attack,56
rattata,defense,35
rattata,sp-atk,25
rattata,sp-def,35
rattata,speed,72
rattata-alolan-form,hp,30
rattata-alolan-form,attack,56
rattata-alolan-form,defense,35
rattata-alolan-form,sp-atk,25
rattata-alolan-form,sp-def,35
rattata-alolan-form,speed,72
raticate,hp,55
raticate,attack,81
raticate,defense,60
raticate,sp-atk,50
raticate,sp-def,70
raticate,speed,97
raticate-alolan-form,hp,75
raticate-alolan-form,attack,71
raticate-alolan-form,defense,70
raticate-alolan-form,sp-atk,40
raticate-alolan-form,sp-def,80
raticate-alolan-form,speed,77
raticate-alolan-form-totem,hp,75
raticate-alolan-form-totem,attack,71
raticate-alolan-form-totem,defense,70
raticate-alolan-form-totem,sp-atk,40
raticate-alolan-form-totem,sp-def,80
raticate-alolan-form-totem,speed,77
spearow,hp,40
spearow,attack,60
spearow,defense,30
spearow,sp-atk,31
spearow,sp-def,31
spearow,speed,70
fearow,hp,65
fearow,attack,90
fearow,defense,65
fearow,sp-atk,61
fearow,sp-def,61
fearow,speed,100
ekans,hp,35
ekans,attack,60
ekans,defense,44
ekans,sp-atk,40
ekans,sp-def,54
ekans,speed,55
arbok,hp,60
arbok,attack,95
arbok,defense,69
arbok,sp-atk,65
arbok,sp-def,79
arbok,speed,80
pikachu,hp,35
pikachu,attack,55
pikachu,defense,40
pikachu,sp-atk,50
pikachu,sp-def,50
pikachu,speed,90
pikachu-rock-star,hp,35
pikachu-rock-star,attack,55
pikachu-rock-star,defense,40
pikachu-rock-star,sp-atk,50
pikachu-rock-star,sp-def,50
pikachu-rock-star,speed,90
pikachu-belle,hp,35
pikachu-belle,attack,55
pikachu-belle,defense,40
pikachu-belle,sp-atk,50
pikachu-belle,sp-def,50
pikachu-belle,speed,90
pikachu-pop-star,hp,35
pikachu-pop-star,attack,55
pikachu-pop-star,defense,40
pikachu-pop-star,sp-atk,50
pikachu-pop-star,sp-def,50
pikachu-pop-star,speed,90
pikachu-phd,hp,35
pikachu-phd,attack,55
pikachu-phd,defense,40
pikachu-phd,sp-atk,50
pikachu-phd,sp-def,50
pikachu-phd,speed,90
pikachu-libre,hp,35
pikachu-libre,attack,55
pikachu-libre,defense,40
pikachu-libre,sp-atk,50
pikachu-libre,sp-def,50
pikachu-libre,speed,90
pikachu-cosplay,hp,35
pikachu-cosplay,attack,55
pikachu-cosplay,defense,40
pikachu-cosplay,sp-atk,50
pikachu-cosplay,sp-def,50
pikachu-cosplay,speed,90
pikachu-original-cap,hp,35
pikachu-original-cap,attack,55
pikachu-original-cap,defense,40
pikachu-original-cap,sp-atk,50
pikachu-original-cap,sp-def,50
pikachu-original-cap,speed,90
pikachu-hoenn-cap,hp,35
pikachu-hoenn-cap,attack,55
pikachu-hoenn-cap,defense,40
pikachu-hoenn-cap,sp-atk,50
pikachu-hoenn-cap,sp-def,50
pikachu-hoenn-cap,speed,90
pikachu-sinnoh-cap,hp,35
pikachu-sinnoh-cap,attack,55
pikachu-sinnoh-cap,defense,40
pikachu-sinnoh-cap,sp-atk,50
pikachu-sinnoh-cap,sp-def,50
pikachu-sinnoh-cap,speed,90
pikachu-unova-cap,hp,35
pikachu-unova-cap,attack,55
pikachu-unova-cap,defense,40
pikachu-unova-cap,sp-atk,50
pikachu-unova-cap,sp-def,50
pikachu-unova-cap,speed,90
pikachu-kalos-cap,hp,35
pikachu-kalos-cap,attack,55
pikachu-kalos-cap,defense,40
pikachu-kalos-cap,sp-atk,50
pikachu-kalos-cap,sp-def,50
pikachu-kalos-cap,speed,90
pikachu-alola-cap,hp,35
pikachu-alola-cap,attack,55
pikachu-alola-cap,defense,40
pikachu-alola-cap,sp-atk,50
pikachu-alola-cap,sp-def,50
pikachu-alola-cap,speed,90
pikachu-partner-cap,hp,35
pikachu-partner-cap,attack,55
pikachu-partner-cap,defense,40
pikachu-partner-cap,sp-atk,50
pikachu-partner-cap,sp-def,50
pikachu-partner-cap,speed,90
pikachu-partner,hp,45
pikachu-partner,attack,80
pikachu-partner,defense,50
pikachu-partner,sp-atk,75
pikachu-partner,sp-def,60
pikachu-partner,speed,120
pikachu-world-cap,hp,35
pikachu-world-cap,attack,55
pikachu-world-cap,defense,40
pikachu-world-cap,sp-atk,50
pikachu-world-cap,sp-def,50
pikachu-world-cap,speed,90
raichu,hp,60
raichu,attack,90
raichu,defense,55
raichu,sp-atk,90
raichu,sp-def,80
raichu,speed,110
raichu-alolan-form,hp,60
raichu-alolan-form,attack,85
raichu-alolan-form,defense,50
raichu-alolan-form,sp-atk,95
raichu-alolan-form,sp-def,85
raichu-alolan-form,speed,110
sandshrew,hp,50
sandshrew,attack,75
sandshrew,defense,85
sandshrew,sp-atk,20
sandshrew,sp-def,30
sandshrew,speed,40
sandshrew-alolan-form,hp,50
sandshrew-alolan-form,attack,75
sandshrew-alolan-form,defense,90
sandshrew-alolan-form,sp-atk,10
sandshrew-alolan-form,sp-def,35
sandshrew-alolan-form,speed,40
sandslash,hp,75
sandslash,attack,100
sandslash,defense,110
sandslash,sp-atk,45
sandslash,sp-def,55
sandslash,speed,65
sandslash-alolan-form,hp,75
sandslash-alolan-form,attack,100
sandslash-alolan-form,defense,120
sandslash-alolan-form,sp-atk,25
sandslash-alolan-form,sp-def,65
sandslash-alolan-form,speed,65
nidoran-f,hp,55
nidoran-f,attack,47
nidoran-f,defense,52
nidoran-f,sp-atk,40
nidoran-f,sp-def,40
nidoran-f,speed,41
nidorina,hp,70
nidorina,attack,62
nidorina,defense,67
nidorina,sp-atk,55
nidorina,sp-def,55
nidorina,speed,56
nidoqueen,hp,90
nidoqueen,attack,92
nidoqueen,defense,87
nidoqueen,sp-atk,75
nidoqueen,sp-def,85
nidoqueen,speed,76
nidoran-m,hp,46
nidoran-m,attack,57
nidoran-m,defense,40
nidoran-m,sp-atk,40
nidoran-m,sp-def,40
nidoran-m,speed,50
nidorino,hp,61
nidorino,attack,72
nidorino,defense,57
nidorino,sp-atk,55
nidorino,sp-def,55
nidorino,speed,65
nidoking,hp,81
nidoking,attack,102
nidoking,defense,77
nidoking,sp-atk,85
nidoking,sp-def,75
nidoking,speed,85
clefairy,hp,70
clefairy,attack,45
clefairy,defense,48
clefairy,sp-atk,60
clefairy,sp-def,65
clefairy,speed,35
clefable,hp,95
clefable,attack,70
clefable,defense,73
clefable,sp-atk,95
clefable,sp-def,90
clefable,speed,60
vulpix,hp,38
vulpix,attack,41
vulpix,defense,40
vulpix,sp-atk,50
vulpix,sp-def,65
vulpix,speed,65
vulpix-alolan-form,hp,38
vulpix-alolan-form,attack,41
vulpix-alolan-form,defense,40
vulpix-alolan-form,sp-atk,50
vulpix-alolan-form,sp-def,65
vulpix-alolan-form,speed,65
ninetales,hp,73
ninetales,attack,76
ninetales,defense,75
ninetales,sp-atk,81
ninetales,sp-def,100
ninetales,speed,100
ninetales-alolan-form,hp,73
ninetales-alolan-form,attack,67
ninetales-alolan-form,defense,75
ninetales-alolan-form,sp-atk,81
ninetales-alolan-form,sp-def,100
ninetales-alolan-form,speed,109
jigglypuff,hp,115
jigglypuff,attack,45
jigglypuff,defense,20
jigglypuff,sp-atk,45
jigglypuff,sp-def,25
jigglypuff,speed,20
wigglytuff,hp,140
wigglytuff,attack,70
wigglytuff,defense,45
wigglytuff,sp-atk,85
wigglytuff,sp-def,50
wigglytuff,speed,45
zubat,hp,40
zubat,attack,45
zubat,defense,35
zubat,sp-atk,30
zubat,sp-def,40
zubat,speed,55
golbat,hp,75
golbat,attack,80
golbat,defense,70
golbat,sp-atk,65
golbat,sp-def,75
golbat,speed,90
oddish,hp,45
oddish,attack,50
oddish,defense,55
oddish,sp-atk,75
oddish,sp-def,65
oddish,speed,30
gloom,hp,60
gloom,attack,65
gloom,defense,70
gloom,sp-atk,85
gloom,sp-def,75
gloom,speed,40
vileplume,hp,75
vileplume,attack,80
vileplume,defense,85
vileplume,sp-atk,110
vileplume,sp-def,90
vileplume,speed,50
paras,hp,35
paras,attack,70
paras,defense,55
paras,sp-atk,45
paras,sp-def,55
paras,speed,25
parasect,hp,60
parasect,attack,95
parasect,defense,80
parasect,sp-atk,60
parasect,sp-def,80
parasect,speed,30
venonat,hp,60
venonat,attack,55
venonat,defense,50
venonat,sp-atk,40
venonat,sp-def,55
venonat,speed,45
venomoth,hp,70
venomoth,attack,65
venomoth,defense,60
venomoth,sp-atk,90
venomoth,sp-def,75
venomoth,speed,90
diglett,hp,10
diglett,attack,55
diglett,defense,25
diglett,sp-atk,35
diglett,sp-def,45
diglett,speed,95
diglett-alolan-form,hp,10
diglett-alolan-form,attack,55
diglett-alolan-form,defense,30
diglett-alolan-form,sp-atk,35
diglett-alolan-form,sp-def,45
diglett-alolan-form,speed,90
dugtrio,hp,35
dugtrio,attack,100
dugtrio,defense,50
dugtrio,sp-atk,50
dugtrio,sp-def,70
dugtrio,speed,120
dugtrio-alolan-form,hp,35
dugtrio-alolan-form,attack,100
dugtrio-alolan-form,defense,60
dugtrio-alolan-form,sp-atk,50
dugtrio-alolan-form,sp-def,70
dugtrio-alolan-form,speed,110
meowth,hp,40
meowth,attack,45
meowth,defense,35
meowth,sp-atk,40
meowth,sp-def,40
meowth,speed,90
meowth-alolan-form,hp,40
meowth-alolan-form,attack,35
meowth-alolan-form,defense,35
meowth-alolan-form,sp-atk,50
meowth-alolan-form,sp-def,40
meowth-alolan-form,speed,90
meowth-galarian-form,hp,50
meowth-galarian-form,attack,65
meowth-galarian-form,defense,55
meowth-galarian-form,sp-atk,40
meowth-galarian-form,sp-def,40
meowth-galarian-form,speed,40
persian,hp,65
persian,attack,70
persian,defense,60
persian,sp-atk,65
persian,sp-def,65
persian,speed,115
persian-alolan-form,hp,65
persian-alolan-form,attack,60
persian-alolan-form,defense,60
persian-alolan-form,sp-atk,75
persian-alolan-form,sp-def,65
persian-alolan-form,speed,115
psyduck,hp,50
psyduck,attack,52
psyduck,defense,48
psyduck,sp-atk,65
psyduck,sp-def,50
psyduck,speed,55
golduck,hp,80
golduck,attack,82
golduck,defense,78
golduck,sp-atk,95
golduck,sp-def,80
golduck,speed,85
mankey,hp,40
mankey,attack,80
mankey,defense,35
mankey,sp-atk,35
mankey,sp-def,45
mankey,speed,70
primeape,hp,65
primeape,attack,105
primeape,defense,60
primeape,sp-atk,60
primeape,sp-def,70
primeape,speed,95
growlithe,hp,55
growlithe,attack,70
growlithe,defense,45
growlithe,sp-atk,70
growlithe,sp-def,50
growlithe,speed,60
growlithe-hisuian-form,hp,60
growlithe-hisuian-form,attack,75
growlithe-hisuian-form,defense,45
growlithe-hisuian-form,sp-atk,65
growlithe-hisuian-form,sp-def,50
growlithe-hisuian-form,speed,55
arcanine,hp,90
arcanine,attack,110
arcanine,defense,80
arcanine,sp-atk,100
arcanine,sp-def,80
arcanine,speed,95
arcanine-hisuian-form,hp,95
arcanine-hisuian-form,attack,115
arcanine-hisuian-form,defense,80
arcanine-hisuian-form,sp-atk,95
arcanine-hisuian-form,sp-def,80
arcanine-hisuian-form,speed,90
arcanine-lord-form,hp,95
arcanine-lord-form,attack,115
arcanine-lord-form,defense,80
arcanine-lord-form,sp-atk,95
arcanine-lord-form,sp-def,80
arcanine-lord-form,speed,90
poliwag,hp,40
poliwag,attack,50
poliwag,defense,40
poliwag,sp-atk,40
poliwag,sp-def,40
poliwag,speed,90
poliwhirl,hp,65
poliwhirl,attack,65
poliwhirl,defense,65
poliwhirl,sp-atk,50
poliwhirl,sp-def,50
poliwhirl,speed,90
poliwrath,hp,90
poliwrath,attack,95
poliwrath,defense,95
poliwrath,sp-atk,70
poliwrath,sp-def,90
poliwrath,speed,70
abra,hp,25
abra,attack,20
abra,defense,15
abra,sp-atk,105
abra,sp-def,55
abra,speed,90
kadabra,hp,40
kadabra,attack,35
kadabra,defense,30
kadabra,sp-atk,120
kadabra,sp-def,70
kadabra,speed,105
alakazam,hp,55
alakazam,attack,50
alakazam,defense,45
alakazam,sp-atk,135
alakazam,sp-def,95
alakazam,speed,120
alakazam-mega,hp,55
alakazam-mega,attack,50
alakazam-mega,defense,65
alakazam-mega,sp-atk,175
alakazam-mega,sp-def,105
alakazam-mega,speed,150
machop,hp,70
machop,attack,80
machop,defense,50
machop,sp-atk,35
machop,sp-def,35
machop,speed,35
machoke,hp,80
machoke,attack,100
machoke,defense,70
machoke,sp-atk,50
machoke,sp-def,60
machoke,speed,45
machamp,hp,90
machamp,attack,130
machamp,defense,80
machamp,sp-atk,65
machamp,sp-def,85
machamp,speed,55
bellsprout,hp,50
bellsprout,attack,75
bellsprout,defense,35
bellsprout,sp-atk,70
bellsprout,sp-def,30
bellsprout,speed,40
weepinbell,hp,65
weepinbell,attack,90
weepinbell,defense,50
weepinbell,sp-atk,85
weepinbell,sp-def,45
weepinbell,speed,55
victreebel,hp,80
victreebel,attack,105
victreebel,defense,65
victreebel,sp-atk,100
victreebel,sp-def,70
victreebel,speed,70
tentacool,hp,40
tentacool,attack,40
tentacool,defense,35
tentacool,sp-atk,50
tentacool,sp-def,100
tentacool,speed,70
tentacruel,hp,80
tentacruel,attack,70
tentacruel,defense,65
tentacruel,sp-atk,80
tentacruel,sp-def,120
